#: table_doi: 10.17182/hepdata.77891.v5/t27
#: name: Exclusion contour(obs.) 1  : Meff+RJR
#: description: Observed 95% CL exclusion contours from searches on the light-flavor squark and lightest neutralino masses in a SUSY scenario where squarks are produced in pairs and decay directly into the lightest neutralino, $\tilde{q} \rightarrow q \tilde{\chi}_{1}^{0}$.
#: data_file: data27.yaml
#: data_license:   
#: keyword reactions: P P --> SQUARK SQUARK X
#: keyword observables: CLS
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: SQRT(S) [GEV],13000.0
M(SQUARK) [GEV],M(NEUTRALINO1) [GEV]
1555.0,20.2
1556.0,32.35
1556.0,40.4
1559.0,60.61
1561.0,80.81
1562.0,101.0
1561.0,121.2
1559.0,141.4
1556.0,161.6
1556.0,163.7
1551.0,181.8
1545.0,202.0
1533.0,220.0
1532.0,222.2
1511.0,237.3
1500.0,242.4
1489.0,247.3
1467.0,260.2
1464.0,262.6
1447.0,282.8
1444.0,287.7
1437.0,303.0
1428.0,323.2
1422.0,334.3
1418.0,343.4
1408.0,363.6
1400.0,379.2
1398.0,383.8
1390.0,404.0
1382.0,424.2
1378.0,435.0
1374.0,444.4
1364.0,464.6
1356.0,477.6
1351.0,484.8
1333.0,502.9
1331.0,505.1
1311.0,515.0
1289.0,516.7
1267.0,511.9
1244.0,506.2
1240.0,505.1
1222.0,500.5
1200.0,496.7
1178.0,502.5
1169.0,505.1
1156.0,509.6
1133.0,514.5
1111.0,516.3
1089.0,513.6
1067.0,507.0
1061.0,505.1
1044.0,500.0
1022.0,493.5
1000.0,488.8
977.8,488.6
955.6,489.4
933.3,490.1
911.1,491.0
888.9,493.6
866.7,498.4
844.4,504.6
843.0,505.1
822.2,513.1
800.0,523.1
795.2,525.3
777.8,536.5
768.8,545.5
755.6,564.0
754.8,565.7
743.6,585.9
733.3,598.7
728.0,606.1
711.1,617.9
692.5,626.3
688.9,627.3
666.7,631.6
644.4,630.4
640.0,626.3
629.5,606.1
622.2,600.0
606.3,585.9
600.0,583.0
579.1,565.7
577.8,564.0
555.6,552.6
548.2,545.5
535.9,525.3
533.3,522.5
511.1,514.2
501.3,505.1
490.5,484.8
488.9,483.2
466.7,465.1
466.3,464.6
444.4,451.0
435.1,444.4
423.6,424.2
422.2,421.1
409.6,404.0
400.0,399.9
381.2,383.8
377.8,378.0
362.5,363.6
355.6,355.3
341.3,343.4
333.3,335.5
320.2,323.2
311.1,314.1

