#: table_doi: 10.17182/hepdata.79538.v7/t55
#: name: AccSRC4
#: description: Acceptance for SRC4 for top squark pair production in the case where both top squarks decay via $\tilde{t}\to t^{(*)} \tilde{\chi^{0}_{1}}$.
#: data_file: AuxFigure7d.yaml
#: data_license:   
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword reactions: P P -->  STOP STOP X
#: keyword observables: ACC
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: RE,P P -->  STOP STOP X
#: SQRT(S) [GEV],13000.0
M(STOP1)-M(NEUTRALINO1) [GEV],M(STOP1) [GEV],SIGNAL ACCEPTANCE [PERCENT]
173.0,200.0,0.04
173.0,225.0,0.21
188.0,250.0,0.48
173.0,250.0,0.45
188.0,300.0,1.72
173.0,300.0,1.48
200.0,350.0,8.37
188.0,350.0,7.58
173.0,350.0,5.47
225.0,400.0,13.5
200.0,400.0,22.26
188.0,400.0,27.96
173.0,400.0,23.14
200.0,450.0,35.45
188.0,450.0,44.03
173.0,450.0,79.79
200.0,500.0,50.09
188.0,500.0,57.11
173.0,500.0,120.35
200.0,550.0,43.64
188.0,550.0,78.38
173.0,550.0,125.96
200.0,600.0,70.1
188.0,600.0,64.48
173.0,600.0,107.4
200.0,650.0,59.58
188.0,650.0,82.88
173.0,650.0,89.8
200.0,700.0,75.33
200.0,750.0,67.34
200.0,800.0,84.31
167.0,190.0,0.0
167.0,220.0,0.42
150.0,250.0,1.98
120.0,250.0,4.23
90.0,250.0,4.24
150.0,300.0,8.51
90.0,300.0,6.47
165.0,350.0,12.78
150.0,350.0,14.36
120.0,350.0,20.78
90.0,350.0,7.94
165.0,400.0,29.41
150.0,400.0,34.0
120.0,400.0,20.18
90.0,400.0,6.65
165.0,450.0,46.63
150.0,450.0,37.46
120.0,450.0,13.29
90.0,450.0,8.19
165.0,500.0,53.23
150.0,500.0,34.5
120.0,500.0,14.94
90.0,500.0,0.0
165.0,550.0,54.47
150.0,550.0,47.19
120.0,550.0,14.14
90.0,550.0,15.45
165.0,600.0,69.23
150.0,600.0,47.94
120.0,600.0,14.87
90.0,600.0,0.0
165.0,650.0,67.88
150.0,650.0,60.22
120.0,650.0,8.81
90.0,650.0,0.0

