#: table_doi: 10.17182/hepdata.79538.v7/t76
#: name: X-section U.L. Gtc
#: description: Upper limit cross-section, in femtobarn, for the $\tilde{g}\to t \tilde{t} \to t\tilde{\chi^{0}_{1}}+$soft grid.
#: data_file: AuxFigure13.yaml
#: data_license:   
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword reactions: P P -->  GLUINO GLUINO X
#: keyword observables: SIG
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: RE,P P -->  GLUINO GLUINO X
#: SQRT(S) [GEV],13000.0
#: M(NEUTRALINO1) [GEV],M(GLUINO) [GEV],Cross-section Limit [fb]
600,1000,112.49
700,1000,865.57
750,1000,2592.48
800,1000,9435.63
750,1050,563.01
850,1050,2985.55
500,1100,11.49
600,1100,30.1
650,1100,38.32
700,1100,129.55
800,1100,466.38
900,1100,3388.54
300,1200,4.53
400,1200,5.32
500,1200,6.51
600,1200,9.39
700,1200,26.11
800,1200,98.25
900,1200,391.61
750,1250,20.75
1000,1300,214.29
300,1300,4.15
400,1300,4.1
500,1300,4.69
600,1300,5.69
700,1300,8.58
800,1300,18.52
900,1300,148.09
1000,1400,90.11
300,1400,3.11
400,1400,3.15
500,1400,3.47
600,1400,3.83
700,1400,5.61
800,1400,9.14
900,1400,14.74
1000,1500,13.92
1100,1500,56.32
1200,1500,650.43
1300,1500,1576.92
300,1500,2.86
400,1500,2.93
500,1500,3.32
600,1500,3.62
700,1500,4.04
800,1500,4.65
900,1500,7.25
1000,1600,7.09
1100,1600,14.66
1200,1600,65.09
1300,1600,204.27
300,1600,3.02
400,1600,2.79
500,1600,2.81
600,1600,2.93
700,1600,3.2
800,1600,3.66
900,1600,5.05
1000,1700,4.73
1100,1700,6.34
1200,1700,12.75
1300,1700,36.24
1400,1700,363.14
300,1700,2.79
400,1700,2.61
500,1700,2.49
600,1700,2.79
700,1700,2.89
800,1700,2.92
900,1700,3.54
1000,1800,3.9
1100,1800,4.95
1200,1800,6.38
1300,1800,13.23
1400,1800,57.51
300,1800,2.84
400,1800,2.62
500,1800,2.48
600,1800,2.51
700,1800,2.75
800,1800,2.87
900,1800,3.1
1000,1900,2.93
1100,1900,3.68
1200,1900,3.56
1300,1900,5.7
1400,1900,9.91
300,1900,2.53
400,1900,2.49
500,1900,2.56
600,1900,2.5
700,1900,2.49
800,1900,2.7
900,1900,2.84
1000,2000,2.45
1100,2000,2.8
1200,2000,3.38
1300,2000,3.91
1400,2000,5.91
300,2000,2.45
400,2000,2.61
500,2000,2.51
600,2000,2.4
700,2000,2.59
800,2000,2.32
900,2000,2.42
600,800,42508.0
650,850,2525.01
650,900,1029.33
700,900,3045.04
650,950,39554.8
700,950,848.36
750,950,125300.0

