#: table_doi: 10.17182/hepdata.81996.v1/t18
#: name: Table 18
#: description: Observed 95% CL exclusion limit for chargino-neutralino production with slepton-mediated decays.
#: data_file: fig_08c_Observed.yaml
#: data_license:   
#: keyword reactions: P P --> Neutralino2 Chargino1
#: keyword observables: GIVE KEY FOR Y-AXIS VARIABLE
#: keyword phrases: 
#: keyword cmenergies: 13000.0
$m(\widetilde{\chi}_2^0)/m(\widetilde{\chi}_1^\pm)$ [GEV],$m(\widetilde{\chi}_1^0)$ [GEV]
950.625,684.484550851
960.594717815,687.5
976.875,689.200911323
1003.125,692.639707422
1012.9941229,687.5
1029.375,668.848215243
1035.14231015,662.5
1055.625,639.019620905
1056.99789701,637.5
1079.79675203,612.5
1081.875,608.808547731
1093.89323343,587.5
1098.76386763,562.5
1103.63451824,537.5
1108.125,514.451264498
1108.47995486,512.5
1111.76842186,487.5
1116.54635421,462.5
1121.69169898,437.5
1126.83703861,412.5
1131.72499749,387.5
1134.375,373.192818621
1136.35554358,362.5
1139.98622037,337.5
1140.04502562,312.5
1139.69044969,287.5
1138.68818192,262.5
1134.375,246.535593653
1131.22452265,237.5
1122.50766252,212.5
1121.23550625,187.5
1127.40805171,162.5
1133.58059772,137.5
1134.35606375,112.5
1134.35648758,87.5
1134.13751403,62.5
1132.39440681,37.5
1130.65128438,12.5
407.478495663,12.5
399.375,19.0016184996
373.125,20.3726055273
346.875,22.4762920055
320.625,26.1142336054
294.375,33.9282204653
287.840769629,37.5
268.125,47.3578847478
241.875,60.4828852834
237.840770493,62.5
215.625,68.2331020867
189.375,72.3407657897
172.162610097,87.5
177.156029702,112.5
189.375,124.137114569
200.156019286,137.5
203.607970174,162.5
215.625,173.94479031
230.848197288,187.5
241.875,198.001716869
258.236511537,212.5
268.125,221.91760806
285.808820427,237.5
294.375,245.65826626
313.613655049,262.5
320.625,269.177471382
341.718261861,287.5
346.875,292.41117918
370.218583915,312.5
373.125,315.268015319
395.214638584,337.5
399.375,341.462248968
425.625,345.977131015
443.688110324,362.5
451.875,365.721670832
475.137883689,387.5
478.125,389.264122667
504.375,400.200026059
530.625,410.994060768
534.287291347,412.5
556.875,422.731398293
571.057552785,437.5
583.125,459.413538407
585.768926,462.5
607.184437783,487.5
609.375,490.358589821
635.625,508.09271764
641.900885674,512.5
661.875,526.526952548
677.500414095,537.5
688.125,544.961184195
714.375,561.805525074
715.548783047,562.5
740.625,577.336474047
757.803126898,587.5
766.875,591.960241743
793.125,604.866218712
819.375,610.905319397
825.312153187,612.5
845.625,615.420001164
871.875,621.413100592
886.829601905,637.5
897.225377249,662.5
898.125,664.663434301
924.375,676.544956945
950.625,684.484550851

