#: table_doi: 10.17182/hepdata.81996.v1/t79
#: name: Table 79
#: description: 95% upper limit on production cross-section for direct slepton production.
#: data_file: figaux_31b.yaml
#: data_license:   
#: keyword reactions: P P --> Slepton Slepton
#: keyword observables: GIVE KEY FOR Y-AXIS VARIABLE
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: LUMINOSITY [fb$^{-1}$],36.1
#: SQRT(S) [GeV],13000
#: $m(\widetilde{\chi}_1^0)$ [GEV],$m(\tilde{\ell})$ [GEV],"X-section U.L., units: [fb]"
50.0,125.0,666.155766276
75.0,150.0,172.61268108
100.0,175.0,90.5943496142
50.0,175.0,21.241638735
100.0,200.0,514.272311784
125.0,200.0,75.0626875548
125.0,225.0,19.5474478181
150.0,225.0,71.5859858092
50.0,225.0,7.05300178242
100.0,250.0,8.671507104
175.0,250.0,71.25789744
200.0,250.0,2991.4344072
150.0,275.0,13.8567221905
200.0,275.0,49.8989388859
50.0,275.0,3.2659448027
100.0,300.0,3.040221132
200.0,300.0,31.33755456
150.0,325.0,3.42212015249
250.0,325.0,50.3412991988
50.0,325.0,2.02262844173
100.0,350.0,2.03629902
200.0,350.0,5.875904622
300.0,350.0,10602.44892
150.0,375.0,2.01590525108
250.0,375.0,9.29458505606
50.0,375.0,1.98434236758
100.0,400.0,2.026593831
200.0,400.0,2.096324262
300.0,400.0,20.13160011
150.0,425.0,2.1145852074
250.0,425.0,2.78392574731
50.0,425.0,1.91421884783
100.0,450.0,1.965705132
200.0,450.0,1.866675348
300.0,450.0,4.37263311
150.0,475.0,2.07755853794
250.0,475.0,2.17566635596
50.0,475.0,1.68891409062
100.0,500.0,1.71360306
200.0,500.0,1.887203565
300.0,500.0,2.11033875
150.0,525.0,1.67588530463
250.0,525.0,1.96819972002
50.0,525.0,1.55894982105
100.0,550.0,1.58129046516
200.0,550.0,1.60890575906
300.0,550.0,1.9209310898
150.0,575.0,1.58145125437
250.0,575.0,1.65871654926
50.0,575.0,1.59797576176
100.0,600.0,1.73523214189
1.0,600.0,1.51223894534
200.0,600.0,1.64168832378
300.0,600.0,1.75298191898
150.0,625.0,1.54261494281
250.0,625.0,1.80698235132
50.0,625.0,1.53749327774
1.0,100.0,1198.86470414
1.0,150.0,18.3197959057
1.0,200.0,9.18922005645
1.0,250.0,3.49594082957
1.0,300.0,1.97245313401
1.0,350.0,1.9220716351
1.0,400.0,1.89445417472
1.0,450.0,1.88228802507
1.0,500.0,1.910044695

