#: table_doi: 10.17182/hepdata.79165.v2/t2
#: name: Acceptance 1
#: description: Signal acceptance (in %) in the ( M(SBOTTOM), M(NEUTRALINO) ) mass plane for the symmetric decay of the sbottom into bottom quark and neutralino, for the b0L-SRA350 signal region.
#: data_file: data1.yaml
#: data_license:   
#: keyword reactions: P P --> SBOTTOM SBOTTOMBAR X
#: keyword observables: Acceptance
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword cmenergies: 13000.0
#: RE,P P --> SBOTTOM SBOTTOMBAR X
#: SQRT(S) [GEV],13000.0
M(SBOTTOM) [GEV],M(NEUTRALINO) [GEV],ACCEPTANCE [PCT]
1000.0,1.0,24.84
1000.0,100.0,21.12
1000.0,150.0,23.7
1000.0,200.0,24.01
1000.0,250.0,23.02
1000.0,300.0,22.85
1000.0,350.0,22.32
1000.0,400.0,20.53
1000.0,450.0,19.41
1000.0,50.0,23.39
1000.0,500.0,17.16
1000.0,550.0,15.48
1050.0,1.0,25.98
1050.0,100.0,24.79
1050.0,150.0,24.75
1050.0,200.0,25.3
1050.0,300.0,23.75
1050.0,350.0,23.69
1050.0,400.0,21.73
1050.0,450.0,21.61
1050.0,50.0,24.57
1050.0,500.0,19.73
1050.0,550.0,17.76
1050.0,600.0,15.35
1100.0,1.0,25.91
1100.0,100.0,25.63
1100.0,150.0,26.49
1100.0,200.0,25.71
1100.0,250.0,24.29
1100.0,300.0,25.0
1100.0,350.0,23.7
1100.0,400.0,20.82
1100.0,450.0,22.46
1100.0,50.0,25.48
1100.0,500.0,22.28
1100.0,550.0,20.57
1150.0,1.0,26.6
1150.0,100.0,22.38
1150.0,150.0,26.58
1150.0,200.0,25.88
1150.0,250.0,27.0
1150.0,300.0,25.59
1150.0,350.0,23.96
1150.0,400.0,25.93
1150.0,450.0,23.64
1150.0,50.0,27.09
1150.0,500.0,22.91
1150.0,550.0,21.87
1150.0,600.0,19.19
1200.0,1.0,27.61
1200.0,100.0,27.17
1200.0,150.0,26.33
1200.0,200.0,26.59
1200.0,250.0,26.26
1200.0,300.0,26.64
1200.0,350.0,25.88
1200.0,400.0,25.72
1200.0,450.0,25.14
1200.0,50.0,26.0
1200.0,500.0,23.77
1200.0,550.0,23.61
1200.0,600.0,22.98
1250.0,1.0,27.04
1250.0,100.0,28.17
1250.0,150.0,27.29
1250.0,200.0,26.73
1250.0,250.0,26.12
1250.0,300.0,26.88
1250.0,350.0,26.33
1250.0,400.0,26.94
1250.0,450.0,25.72
1250.0,50.0,27.55
1250.0,500.0,23.92
1250.0,550.0,23.94
1250.0,600.0,23.27
1300.0,100.0,27.9
1300.0,150.0,26.75
1300.0,200.0,27.88
1300.0,250.0,28.55
1300.0,300.0,23.65
1300.0,350.0,27.2
1300.0,400.0,26.76
1300.0,450.0,26.6
1300.0,50.0,28.19
1300.0,500.0,26.26
1300.0,550.0,25.09
1300.0,600.0,23.45
250.0,200.0,0.0
250.0,230.0,0.0
250.0,245.0,0.0
300.0,100.0,0.01
300.0,150.0,0.0
300.0,230.0,0.0
300.0,250.0,0.0
300.0,280.0,0.0
300.0,295.0,0.0
350.0,150.0,0.01
350.0,250.0,0.0
350.0,300.0,0.0
350.0,330.0,0.0
350.0,345.0,0.0
400.0,1.0,1.2
400.0,100.0,0.52
400.0,150.0,0.09
400.0,200.0,0.03
400.0,300.0,0.0
400.0,350.0,0.0
400.0,380.0,0.0
400.0,395.0,0.0
425.0,325.0,0.0
425.0,375.0,0.0
425.0,405.0,0.0
450.0,150.0,1.09
450.0,200.0,0.25
450.0,300.0,0.0
450.0,350.0,0.0
450.0,400.0,0.0
450.0,430.0,0.0
450.0,445.0,0.0
475.0,375.0,0.0
475.0,425.0,0.0
475.0,455.0,0.0
475.0,470.0,0.0
500.0,1.0,6.08
500.0,100.0,4.93
500.0,150.0,3.57
500.0,200.0,1.92
500.0,250.0,0.46
500.0,300.0,0.04
500.0,350.0,0.01
500.0,400.0,0.01
500.0,450.0,0.0
500.0,480.0,0.0
500.0,495.0,0.0
550.0,1.0,9.15
550.0,100.0,7.29
550.0,200.0,4.66
550.0,250.0,2.43
550.0,300.0,0.66
550.0,350.0,0.05
550.0,400.0,0.01
550.0,450.0,0.01
550.0,500.0,0.0
550.0,530.0,0.0
550.0,545.0,0.0
600.0,1.0,11.62
600.0,100.0,10.65
600.0,150.0,9.38
600.0,200.0,8.0
600.0,300.0,2.94
600.0,350.0,0.89
600.0,400.0,0.06
600.0,450.0,0.01
600.0,500.0,0.0
600.0,550.0,0.0
600.0,580.0,0.0
600.0,595.0,0.0
650.0,1.0,14.13
650.0,100.0,13.46
650.0,150.0,12.56
650.0,200.0,10.98
650.0,250.0,8.75
650.0,300.0,6.78
650.0,350.0,3.64
650.0,400.0,1.12
650.0,450.0,0.06
650.0,500.0,0.04
650.0,550.0,0.01
650.0,600.0,0.0
700.0,1.0,16.33
700.0,100.0,15.22
700.0,150.0,14.6
700.0,200.0,12.84
700.0,250.0,12.01
700.0,300.0,10.2
700.0,350.0,7.1
700.0,400.0,4.26
700.0,450.0,1.32
700.0,500.0,0.1
700.0,550.0,0.02
700.0,600.0,0.0
750.0,1.0,19.33
750.0,100.0,17.06
750.0,150.0,16.92
750.0,200.0,16.0
750.0,250.0,15.36
750.0,300.0,13.06
750.0,350.0,10.09
750.0,400.0,7.6
750.0,450.0,4.49
750.0,500.0,1.4
750.0,550.0,0.07
750.0,600.0,0.03
800.0,1.0,19.93
800.0,100.0,18.75
800.0,200.0,18.1
800.0,250.0,17.25
800.0,300.0,15.69
800.0,350.0,13.75
800.0,400.0,10.85
800.0,450.0,7.72
800.0,50.0,20.29
800.0,500.0,4.67
800.0,550.0,1.78
800.0,600.0,0.08
850.0,1.0,21.39
850.0,100.0,20.95
850.0,200.0,19.97
850.0,250.0,18.26
850.0,300.0,17.59
850.0,350.0,16.8
850.0,400.0,12.97
850.0,450.0,11.74
850.0,50.0,20.93
850.0,500.0,8.58
850.0,550.0,4.82
850.0,600.0,1.8
900.0,1.0,21.88
900.0,100.0,21.55
900.0,150.0,23.08
900.0,200.0,22.12
900.0,250.0,20.29
900.0,300.0,19.44
900.0,350.0,18.88
900.0,400.0,16.37
900.0,450.0,15.62
900.0,50.0,23.25
900.0,500.0,12.19
900.0,550.0,9.7
900.0,600.0,5.1
950.0,1.0,23.0
950.0,100.0,22.85
950.0,150.0,23.31
950.0,200.0,21.12
950.0,250.0,22.76
950.0,300.0,21.41
950.0,350.0,20.0
950.0,400.0,19.78
950.0,450.0,16.91
950.0,50.0,23.4
950.0,500.0,12.39
950.0,550.0,12.33

