#: table_doi: 10.17182/hepdata.79165.v2/t44
#: name: Contour 15
#: description: Expected exclusion limit for b0L-SRC for sbottom pair production with symmetric decay into a bottom quark and a neutralino.
#: data_file: data43.yaml
#: data_license:   
#: keyword reactions: P P --> SBOTTOM SBOTTOMBAR X
#: keyword observables: EXCLUSION LIMIT
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword cmenergies: 13000.0
#: RE,P P --> SBOTTOM SBOTTOMBAR X
#: SQRT(S) [GEV],13000.0
M(SBOTTOM) [GEV],M(NEUTRALINO1) [GEV]
494.9,457.7
499.4,465.2
508.0,457.7
517.4,442.8
512.1,427.8
501.3,412.8
499.4,411.6
485.2,397.8
476.5,382.9
473.1,379.7
462.7,367.9
446.9,353.7
445.8,352.9
433.9,337.9
427.8,323.0
420.6,310.5
419.6,308.0
410.4,293.0
398.7,278.0
394.4,267.7
392.3,263.1
392.2,248.1
389.0,233.1
380.7,218.1
371.8,203.2
368.1,197.7
361.6,188.2
351.4,173.2
341.9,159.2
341.2,158.2
329.8,143.3
316.9,128.3
315.6,127.1
292.0,113.3
289.4,113.1
289.0,113.3
285.3,128.3
263.1,140.0
236.9,140.0
231.1,143.3
227.1,158.2
223.6,173.2
221.4,188.2
220.9,203.2
219.1,219.1
248.1,248.1
263.1,248.3
274.3,263.1
283.5,278.0
289.4,281.4
308.0,293.0
315.6,298.7
325.2,308.0
326.7,323.0
341.9,331.6
353.2,337.9
368.1,347.5
384.0,352.9
387.8,367.9
394.4,373.1
408.5,382.9
415.1,397.8
420.6,400.4
437.9,412.8
441.8,427.8
446.9,430.7
470.5,442.8
473.1,444.8
494.9,457.7

