#: table_doi: 10.17182/hepdata.79165.v2/t69
#: name: Contour 40
#: description: Observed exclusion limit for best combination for sbottom pair production with asymmetric decay into a bottom quark and a neutralino or a top quark and a chargino.
#: data_file: data68.yaml
#: data_license:   
#: keyword reactions: P P --> SBOTTOM SBOTTOMBAR X
#: keyword observables: EXCLUSION LIMIT
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword cmenergies: 13000.0
#: RE,P P --> SBOTTOM SBOTTOMBAR X
#: SQRT(S) [GEV],13000.0
M(SBOTTOM) [GEV],M(NEUTRALINO1) [GEV]
735.6,343.9
736.0,343.8
761.9,335.3
772.0,331.2
788.1,323.5
803.4,318.8
814.4,313.2
821.3,306.2
829.0,293.8
834.7,281.2
839.3,268.8
840.6,265.0
843.2,256.2
847.6,243.8
852.8,231.2
856.9,218.8
861.1,206.2
865.3,193.8
866.9,188.8
869.2,181.2
872.4,168.8
873.9,156.2
875.4,143.8
876.9,131.2
876.3,118.8
875.3,106.2
875.3,100.0
297.7,100.0
297.7,106.2
289.4,109.7
282.8,112.8
465.1,295.1
472.6,293.8
473.1,293.6
490.9,281.2
496.3,268.8
499.4,261.7
503.7,268.8
515.4,281.2
525.6,286.0
551.9,288.2
562.0,293.8
578.1,302.3
585.8,306.2
604.4,315.6
614.9,318.8
630.6,325.6
652.4,331.2
656.9,332.4
681.1,343.8
683.1,345.0
709.4,352.7
735.6,343.9

