#: table_doi: 10.17182/hepdata.79165.v2/t81
#: name: Limit on cross section 6
#: description: Cross section excluded at 95% CL for b0L-SRC as a function of the sbottom and neutralino masses, for a pair produced sbottom with symmetric decay into a bottom and a neutralino.
#: data_file: data80.yaml
#: data_license:   
#: keyword reactions: P P --> SBOTTOM SBOTTOMBAR X
#: keyword observables: Excluded cross section
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword cmenergies: 13000.0
#: RE,P P --> SBOTTOM SBOTTOMBAR X
#: SQRT(S) [GEV],13000.0
M(SBOTTOM) [GEV],M(NEUTRALINO) [GEV],XSEC [PB]
250.0,200.0,4.896
250.0,230.0,2.259
300.0,100.0,12.26
300.0,150.0,6.319
300.0,230.0,3.378
300.0,250.0,1.803
300.0,280.0,1.711
350.0,250.0,2.656
350.0,330.0,0.9552
400.0,100.0,8.13
400.0,1.0,31.28
400.0,150.0,8.182
400.0,300.0,1.552
400.0,350.0,1.041
400.0,380.0,1.365
425.0,325.0,1.569
425.0,375.0,0.617
425.0,405.0,0.9945
450.0,150.0,11.68
450.0,200.0,3.952
450.0,300.0,3.727
450.0,350.0,1.431
450.0,400.0,0.4868
450.0,430.0,0.8171
450.0,445.0,68.95
475.0,375.0,0.9941
475.0,425.0,0.4331
500.0,100.0,14.06
500.0,150.0,4.807
500.0,250.0,16.72
500.0,300.0,4.523
500.0,350.0,4.154
500.0,400.0,0.9824
500.0,450.0,0.4709
500.0,480.0,0.894
550.0,100.0,3.911
550.0,1.0,3.825
550.0,200.0,4.95
550.0,350.0,7.255
550.0,450.0,0.76
550.0,500.0,0.3709
550.0,530.0,1.518
550.0,545.0,19.24
600.0,200.0,6.548
600.0,250.0,7.733
600.0,300.0,2.573
600.0,400.0,2.462
600.0,450.0,1.145
600.0,500.0,0.5588
600.0,550.0,0.3345
600.0,580.0,0.8117
650.0,1.0,3.245
650.0,400.0,8.305
650.0,450.0,2.468
650.0,500.0,0.953
700.0,200.0,2.74
700.0,300.0,1.788
700.0,450.0,4.891
700.0,550.0,1.794
700.0,600.0,0.5508
750.0,600.0,1.148
800.0,50.0,2.19
850.0,400.0,1.257
900.0,1.0,1.06

