#: table_doi: 10.17182/hepdata.81726.v1/t32
#: name: Cross section UL 6
#: description: The grey numbers show the 95% CL upper limits on the production cross section at each model point, derived from the best expected combination of results in the signal regions, in a SUSYscenario where gluinos are produced in pairs and decay to an on- or off-shell $Z$ boson.

#: data_file: ulFig22a.yaml
#: keyword cmenergies: 13000.0
#: keyword phrases: Supersymmetry | SUSY
#: SQRT(S) [GEV],13000.0
'M(GLUINO) [GEV]','M(NEUTRALINO1) [GEV]','X-section U.L. [fb]'
600.0,300.0,315
800.0,300.0,26
800.0,500.0,262
1000.0,300.0,41
1000.0,500.0,29
1000.0,700.0,127
1200.0,300.0,9
1200.0,500.0,12
1200.0,700.0,23
1200.0,900.0,111
1200.0,1100.0,215
1400.0,300.0,7
1400.0,500.0,8
1400.0,700.0,11
1400.0,900.0,22
1400.0,1100.0,99
1600.0,300.0,6
1600.0,500.0,7
1600.0,700.0,7
1600.0,900.0,10
1600.0,1100.0,21
1800.0,300.0,6
1800.0,500.0,6
1800.0,700.0,7
1800.0,900.0,7
1800.0,1100.0,10
1100.0,300.0,11
1100.0,500.0,42
1100.0,700.0,81
1300.0,300.0,8
1300.0,500.0,10
1300.0,700.0,14
1500.0,300.0,7
1500.0,500.0,7
1500.0,700.0,8
600.0,400.0,1923
800.0,600.0,345
1000.0,800.0,271
600.0,440.0,1413
800.0,640.0,405
1000.0,840.0,305
600.0,480.0,1360
800.0,680.0,436
1000.0,880.0,268
800.0,700.0,373
800.0,720.0,304
800.0,740.0,258
800.0,760.0,571
800.0,770.0,837
2000.0,300.0,5
2000.0,500.0,5
2000.0,700.0,6
2000.0,900.0,12
2000.0,1100.0,7
1000.0,960.0,312
1000.0,970.0,1491
1000.0,976.0,1136
1000.0,980.0,5201
1200.0,1160.0,400
1200.0,1170.0,2703
1200.0,1176.0,7677
1200.0,1180.0,8904
600.0,576.0,10598
600.0,584.0,24427
800.0,776.0,4726
800.0,780.0,2062
1000.0,920.0,203
600.0,500.0,586
600.0,520.0,419
600.0,540.0,522
1000.0,900.0,278
1000.0,940.0,233

