#: table_doi: 10.17182/hepdata.91374.v1/t39
#: name: Figure 30g
#: description: Acceptance (note the $z$-axis is in units of $10^{-4}$) for the N2C1p higgsino process in the SR-E-1l1T region.  Truth dilepton invariant mass is constrained to be within the range [0.5,60] GeV.
#: data_file: figure_30g.yaml
#: keyword reactions: P P --> HIGGSINO HIGGSINO
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering
$m(\tilde{\chi}_{2}^{0})$ [GeV],"$\Delta m(\tilde{\chi}_{2}^{0},\tilde{\chi}_{1}^{0})$ [GeV]",Acceptance (note the $z$-axis is in units of $10^{-4}$)
81.0,1.0,0.18266
81.5,1.5,0.78762
82.0,2.0,0.95856
83.0,3.0,1.1339
85.0,5.0,0.5878
101.0,1.0,0.16934
101.5,1.5,0.99924
102.0,2.0,1.3271
103.0,3.0,1.6062
105.0,5.0,0.95361
126.0,1.0,0.12471
126.5,1.5,0.51682
127.0,2.0,1.3865
128.0,3.0,2.1486
130.0,5.0,1.4767
152.0,2.0,1.4359
155.0,5.0,1.9164
153.0,3.0,2.4997

