#: table_doi: 10.17182/hepdata.91374.v1/t75
#: name: Figure 36c
#: description: Acceptance (note the $z$-axis is in units of $10^{-4}$) for the N2C1m VBF higgsino process in the SR-VBF-low region.  Truth dilepton invariant mass is constrained to be within the range [1,40] GeV.
#: data_file: figure_36c.yaml
#: keyword reactions: P P --> HIGGSINO HIGGSINO JET JET
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering
$m(\tilde{\chi}_{2}^{0})$ [GeV],"$\Delta m(\tilde{\chi}_{2}^{0},\tilde{\chi}_{1}^{0})$ [GeV]",Acceptance (note the $z$-axis is in units of $10^{-4}$)
40.0,2.0,0.23081
40.0,3.0,0.94559
40.0,5.0,1.4452
40.0,10.0,1.0681
40.0,20.0,0.33812
40.0,40.0,0.0388
60.0,2.0,0.76822
60.0,3.0,2.5145
60.0,5.0,4.1099
60.0,10.0,4.6201
60.0,20.0,2.1745
60.0,40.0,0.62255
80.0,2.0,0.5996
80.0,3.0,2.6093
80.0,5.0,5.3731
80.0,10.0,7.414
80.0,20.0,4.3613
80.0,40.0,1.8162
120.0,2.0,0.45835
120.0,3.0,2.1646
120.0,5.0,5.4197
120.0,10.0,10.088
120.0,20.0,8.5824
120.0,40.0,4.4034
100.0,2.0,0.5585
100.0,3.0,2.2497
100.0,5.0,4.9859

