#: table_doi: 10.17182/hepdata.91374.v1/t83
#: name: Figure 44ab
#: description: Observed and Expected upper cross-section limits for direct slepton scenarios.
#: data_file: figure_44ab.yaml
#: keyword reactions: P P --> SLEPTON SLEPTON
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering
$m(\tilde{\ell})$ [GeV],"$\Delta m(\tilde{\ell},\tilde{\chi}_{1}^{0})$ [GeV]",Observed 95% CL Upper Limit [fb]
100.0,40.0,1.1342
100.0,30.0,0.92014
100.0,20.0,0.32095
100.0,10.0,0.096834
100.0,5.0,0.090003
100.0,2.0,0.23813
100.0,1.0,0.27277
100.0,0.7,1.318
100.0,0.5,6.8874
125.0,20.0,0.20488
125.0,10.0,0.066653
125.0,5.0,0.076247
125.0,2.0,0.16815
125.0,1.0,0.25215
125.0,0.7,1.7509
125.0,0.5,16.316
125.0,40.0,0.55263
125.0,30.0,0.49828
150.0,40.0,0.54511
150.0,30.0,0.33409
150.0,25.7,0.2002
150.0,20.0,0.12833
150.0,10.0,0.046633
150.0,5.0,0.051446
150.0,2.0,0.12106
150.0,1.0,0.42622
150.0,0.5,9.3332
175.0,40.0,0.26823
175.0,30.0,0.30247
175.0,20.0,0.085084
175.0,10.0,0.033589
175.0,5.0,0.049546
175.0,2.0,0.082242
175.0,1.0,0.34392
200.0,40.0,0.15001
200.0,30.0,0.14731
200.0,20.0,0.078767
200.0,10.0,0.037495
200.0,5.0,0.038733
200.0,2.0,0.079242
200.0,1.0,0.5319
225.0,40.0,0.30434
225.0,30.0,0.18996
225.0,20.0,0.077102
225.0,10.0,0.030735
225.0,5.0,0.03582
225.0,2.0,0.053833
225.0,1.0,0.58475
250.0,20.0,0.061205
250.0,10.0,0.02235
250.0,5.0,0.035652
250.0,2.0,0.039794
250.0,1.0,0.64918
300.0,10.0,0.022643
300.0,5.0,0.032372
300.0,2.0,0.053641
50.0,5.0,0.52692
50.0,2.0,1.0834
50.0,1.0,2.4255
50.0,0.7,3.378
50.0,0.5,3.6597
50.0,0.3,46.988
60.0,5.0,0.28621
60.0,2.0,0.70751
60.0,1.0,1.4203
60.0,0.7,1.5131
60.0,0.5,3.0361
60.0,0.3,55.24
70.0,5.0,0.18374
70.0,2.0,0.56893
70.0,1.0,0.67078
70.0,0.7,1.0332
70.0,0.5,4.2548
90.0,40.0,2.4993
90.0,20.0,0.35895

$m(\tilde{\ell})$ [GeV],"$\Delta m(\tilde{\ell},\tilde{\chi}_{1}^{0})$ [GeV]",Expected 95% CL Upper Limit [fb]
100.0,40.0,1.1171
100.0,30.0,0.66375
100.0,20.0,0.32834
100.0,10.0,0.12223
100.0,5.0,0.10547
100.0,2.0,0.20396
100.0,1.0,0.4584
100.0,0.7,1.9439
100.0,0.5,8.7386
125.0,20.0,0.19515
125.0,10.0,0.080844
125.0,5.0,0.080829
125.0,2.0,0.16804
125.0,1.0,0.45144
125.0,0.7,2.6819
125.0,0.5,19.022
125.0,40.0,0.55263
125.0,30.0,0.45015
150.0,40.0,0.45566
150.0,30.0,0.27772
150.0,25.7,0.17435
150.0,20.0,0.13916
150.0,10.0,0.056526
150.0,5.0,0.05094
150.0,2.0,0.1266
150.0,1.0,0.68881
150.0,0.5,10.974
175.0,40.0,0.33221
175.0,30.0,0.2125
175.0,20.0,0.089132
175.0,10.0,0.040709
175.0,5.0,0.049037
175.0,2.0,0.10228
175.0,1.0,0.52049
200.0,40.0,0.17058
200.0,30.0,0.11741
200.0,20.0,0.078862
200.0,10.0,0.039374
200.0,5.0,0.03923
200.0,2.0,0.11142
200.0,1.0,0.72043
225.0,40.0,0.24729
225.0,30.0,0.13447
225.0,20.0,0.068232
225.0,10.0,0.035813
225.0,5.0,0.040007
225.0,2.0,0.085545
225.0,1.0,0.79821
250.0,20.0,0.06028
250.0,10.0,0.027233
250.0,5.0,0.032089
250.0,2.0,0.06885
250.0,1.0,0.9341
300.0,10.0,0.026811
300.0,5.0,0.028293
300.0,2.0,0.078499
50.0,5.0,0.70714
50.0,2.0,1.0787
50.0,1.0,2.0292
50.0,0.7,4.2945
50.0,0.5,6.1246
50.0,0.3,60.939
60.0,5.0,0.35753
60.0,2.0,0.63088
60.0,1.0,1.4252
60.0,0.7,2.4091
60.0,0.5,5.1836
60.0,0.3,69.487
70.0,5.0,0.23841
70.0,2.0,0.44186
70.0,1.0,0.87886
70.0,0.7,1.7505
70.0,0.5,7.2078
90.0,40.0,1.3427
90.0,20.0,0.39676

