#: table_doi: 10.17182/hepdata.90835.v1/t29
#: name: T1bbbb expected mass limit curve
#: description: Exclusion limits assuming the approximate-NNLO+NNLL cross sections
#: data_file: t1bbbb_expected_mass_limit_curve.yaml
#: keyword observables: CLS
#: keyword phrases: SUSY | Supersymmetry
#: keyword cmenergies: 13000
#: keyword reactions: P P --> GLUINO GLUINO | GLUINO --> BQ BQBAR NEUTRALINO1
#: LUMINOSITY [fb$^{-1}$],137
#: Limit boundary,Expected
M(GLUINO) [GeV],M(NEUTRALINO1) [GeV]
712.46,687.7
1021.4,995.05
1038.9,1012.5
1067.1,1039.7
1087.7,1058.3
1101.7,1071.1
1150.0,1112.3
1165.2,1124.8
1174.6,1132.6
1200.0,1153.0
1225.5,1173.2
1245.0,1188.5
1250.0,1192.3
1284.0,1218.2
1300.0,1230.6
1310.8,1239.0
1314.2,1241.3
1340.1,1261.0
1350.0,1268.7
1377.1,1288.5
1382.0,1292.7
1394.5,1302.5
1400.0,1307.0
1433.8,1334.4
1447.1,1346.5
1449.3,1348.3
1450.0,1349.4
1458.7,1355.1
1500.0,1375.7
1543.8,1397.0
1549.4,1395.4
1550.0,1399.0
1597.8,1402.3
1600.0,1403.1
1647.9,1404.3
1650.0,1404.3
1689.8,1403.4
1700.0,1402.9
1736.7,1400.3
1750.0,1399.9
1753.3,1399.5
1778.6,1400.1
1800.0,1400.4
1801.7,1400.7
1850.0,1400.4
1890.0,1399.2
1900.0,1398.4
1902.1,1398.6
1950.0,1394.9
1991.7,1391.6
2026.1,1376.1
2050.0,1365.2
2061.3,1361.3
2100.0,1352.0
2103.2,1350.0
2150.0,1307.4
2153.8,1303.8
2156.9,1300.0
2163.9,1286.1
2183.3,1250.0
2189.5,1239.5
2200.0,1203.6
2200.7,1200.7
2201.0,1200.0
2202.3,1195.5
2228.1,1100.0
2250.0,1027.6
2257.4,1000.0
2261.4,977.14
2274.0,900.0
2278.4,843.18
2281.7,800.0
2283.9,767.8
2289.2,700.0
2290.2,680.36
2292.5,600.0
2290.2,519.64
2290.0,500.0
2287.3,425.42
2286.8,400.0
2282.3,335.38
2281.7,300.0
2280.2,260.34
2276.5,200.0
2273.6,152.7
2269.5,100.0
2266.7,67.0
2260.9,1.0
2260.9,1.0

