#: table_doi: 10.17182/hepdata.90835.v1/t78
#: name: T2bb significance
#: description: The observed significance of the SMS models for T2bb as function of the bottom squark and LSP masses. 
#: data_file: t2bb_significance.yaml
#: keyword observables: SIGNIF
#: keyword phrases: SUSY | Supersymmetry
#: keyword cmenergies: 13000
#: keyword reactions: P P --> SBOTTOM SBOTTOM | SBOTTOM --> BQ NEUTRALINO1
#: Significance,
M(SBOTTOM) [GeV],M(NEUTRALINO1) [GeV],Significance [s.d.]
306.25,9.1992,-0.7875
306.25,25.598,-0.81221
306.25,41.996,-0.83692
306.25,58.395,-0.86163
306.25,74.793,-0.88634
306.25,91.191,-0.91104
306.25,107.59,-0.92187
306.25,123.99,-0.94556
306.25,140.39,-0.96926
306.25,156.79,-0.99295
306.25,173.18,-1.0167
306.25,189.58,-1.0403
306.25,205.98,-1.0687
306.25,222.38,-1.1902
306.25,238.78,-1.3023
306.25,255.18,-1.3696
306.25,271.57,-1.3457
306.25,287.97,0.0
306.25,304.37,0.0
306.25,320.77,0.0
306.25,337.17,0.0
306.25,353.57,0.0
306.25,369.96,0.0
306.25,386.36,0.0
306.25,402.76,0.0
306.25,419.16,0.0
306.25,435.56,0.0
306.25,451.96,0.0
306.25,468.36,0.0
306.25,484.75,0.0
306.25,501.15,0.0
306.25,517.55,0.0
306.25,533.95,0.0
306.25,550.35,0.0
306.25,566.75,0.0
306.25,583.14,0.0
306.25,599.54,0.0
306.25,615.94,0.0
306.25,632.34,0.0
306.25,648.74,0.0
306.25,665.14,0.0
306.25,681.54,0.0
306.25,697.93,0.0
306.25,714.33,0.0
306.25,730.73,0.0
306.25,747.13,0.0
306.25,763.53,0.0
306.25,779.93,0.0
306.25,796.32,0.0
306.25,812.72,0.0
306.25,829.12,0.0
306.25,845.52,0.0
306.25,861.92,0.0
306.25,878.32,0.0
306.25,894.71,0.0
306.25,911.11,0.0
306.25,927.51,0.0
306.25,943.91,0.0
306.25,960.31,0.0
306.25,976.71,0.0
306.25,993.11,0.0
306.25,1009.5,0.0
306.25,1025.9,0.0
306.25,1042.3,0.0
306.25,1058.7,0.0
306.25,1075.1,0.0
306.25,1091.5,0.0
306.25,1107.9,0.0
306.25,1124.3,0.0
306.25,1140.7,0.0
306.25,1157.1,0.0
306.25,1173.5,0.0
306.25,1189.9,0.0
306.25,1206.3,0.0
306.25,1222.7,0.0
306.25,1239.1,0.0
306.25,1255.5,0.0
306.25,1271.9,0.0
306.25,1288.3,0.0
306.25,1304.7,0.0
306.25,1321.1,0.0
306.25,1337.5,0.0
306.25,1353.9,0.0
306.25,1370.3,0.0
306.25,1386.7,0.0
306.25,1403.1,0.0
306.25,1419.5,0.0
306.25,1435.9,0.0
306.25,1452.3,0.0
306.25,1468.7,0.0
306.25,1485.1,0.0
306.25,1501.5,0.0
306.25,1517.9,0.0
306.25,1534.3,0.0
306.25,1550.7,0.0
306.25,1567.1,0.0
306.25,1583.4,0.0
306.25,1599.8,0.0
306.25,1616.2,0.0
306.25,1632.6,0.0
306.25,1649.0,0.0
306.25,1665.4,0.0
306.25,1681.8,0.0
306.25,1698.2,0.0
306.25,1714.6,0.0
306.25,1731.0,0.0
306.25,1747.4,0.0
306.25,1763.8,0.0
306.25,1780.2,0.0
306.25,1796.6,0.0
306.25,1813.0,0.0
306.25,1829.4,0.0
306.25,1845.8,0.0
306.25,1862.2,0.0
306.25,1878.6,0.0
306.25,1895.0,0.0
306.25,1911.4,0.0
306.25,1927.8,0.0
306.25,1944.2,0.0
306.25,1960.6,0.0
306.25,1977.0,0.0
306.25,1993.4,0.0
306.25,2009.8,0.0
306.25,2026.2,0.0
306.25,2042.6,0.0
306.25,2059.0,0.0
306.25,2075.4,0.0
306.25,2091.8,0.0
318.75,9.1992,-0.84673
318.75,25.598,-0.87144
318.75,41.996,-0.89615
318.75,58.395,-0.92085
318.75,74.793,-0.94556
318.75,91.191,-0.94912
318.75,107.59,-0.95427
318.75,123.99,-0.97796
318.75,140.39,-1.0017
318.75,156.79,-1.0254
318.75,173.18,-1.049
318.75,189.58,-1.0385
318.75,205.98,-1.0497
318.75,222.38,-1.1635
318.75,238.78,-1.2986
318.75,255.18,-1.3658
318.75,271.57,-1.3687
318.75,287.97,-1.2269
318.75,304.37,0.0
318.75,320.77,0.0
318.75,337.17,0.0
318.75,353.57,0.0
318.75,369.96,0.0
318.75,386.36,0.0
318.75,402.76,0.0
318.75,419.16,0.0
318.75,435.56,0.0
318.75,451.96,0.0
318.75,468.36,0.0
318.75,484.75,0.0
318.75,501.15,0.0
318.75,517.55,0.0
318.75,533.95,0.0
318.75,550.35,0.0
318.75,566.75,0.0
318.75,583.14,0.0
318.75,599.54,0.0
318.75,615.94,0.0
318.75,632.34,0.0
318.75,648.74,0.0
318.75,665.14,0.0
318.75,681.54,0.0
318.75,697.93,0.0
318.75,714.33,0.0
318.75,730.73,0.0
318.75,747.13,0.0
318.75,763.53,0.0
318.75,779.93,0.0
318.75,796.32,0.0
318.75,812.72,0.0
318.75,829.12,0.0
318.75,845.52,0.0
318.75,861.92,0.0
318.75,878.32,0.0
318.75,894.71,0.0
318.75,911.11,0.0
318.75,927.51,0.0
318.75,943.91,0.0
318.75,960.31,0.0
318.75,976.71,0.0
318.75,993.11,0.0
318.75,1009.5,0.0
318.75,1025.9,0.0
318.75,1042.3,0.0
318.75,1058.7,0.0
318.75,1075.1,0.0
318.75,1091.5,0.0
318.75,1107.9,0.0
318.75,1124.3,0.0
318.75,1140.7,0.0
318.75,1157.1,0.0
318.75,1173.5,0.0
318.75,1189.9,0.0
318.75,1206.3,0.0
318.75,1222.7,0.0
318.75,1239.1,0.0
318.75,1255.5,0.0
318.75,1271.9,0.0
318.75,1288.3,0.0
318.75,1304.7,0.0
318.75,1321.1,0.0
318.75,1337.5,0.0
318.75,1353.9,0.0
318.75,1370.3,0.0
318.75,1386.7,0.0
318.75,1403.1,0.0
318.75,1419.5,0.0
318.75,1435.9,0.0
318.75,1452.3,0.0
318.75,1468.7,0.0
318.75,1485.1,0.0
318.75,1501.5,0.0
318.75,1517.9,0.0
318.75,1534.3,0.0
318.75,1550.7,0.0
318.75,1567.1,0.0
318.75,1583.4,0.0
318.75,1599.8,0.0
318.75,1616.2,0.0
318.75,1632.6,0.0
318.75,1649.0,0.0
318.75,1665.4,0.0
318.75,1681.8,0.0
318.75,1698.2,0.0
318.75,1714.6,0.0
318.75,1731.0,0.0
318.75,1747.4,0.0
318.75,1763.8,0.0
318.75,1780.2,0.0
318.75,1796.6,0.0
318.75,1813.0,0.0
318.75,1829.4,0.0
318.75,1845.8,0.0
318.75,1862.2,0.0
318.75,1878.6,0.0
318.75,1895.0,0.0
318.75,1911.4,0.0
318.75,1927.8,0.0
318.75,1944.2,0.0
318.75,1960.6,0.0
318.75,1977.0,0.0
318.75,1993.4,0.0
318.75,2009.8,0.0
318.75,2026.2,0.0
318.75,2042.6,0.0
318.75,2059.0,0.0
318.75,2075.4,0.0
318.75,2091.8,0.0
331.25,9.1992,-0.90596
331.25,25.598,-0.93066
331.25,41.996,-0.95537
331.25,58.395,-0.98008
331.25,74.793,-0.99237
331.25,91.191,-0.98152
331.25,107.59,-0.98667
331.25,123.99,-1.0104
331.25,140.39,-1.0341
331.25,156.79,-1.0578
331.25,173.18,-1.0632
331.25,189.58,-1.0194
331.25,205.98,-1.0307
331.25,222.38,-1.1378
331.25,238.78,-1.2586
331.25,255.18,-1.3541
331.25,271.57,-1.3505
331.25,287.97,-1.2222
331.25,304.37,-1.1567
331.25,320.77,0.0
331.25,337.17,0.0
331.25,353.57,0.0
331.25,369.96,0.0
331.25,386.36,0.0
331.25,402.76,0.0
331.25,419.16,0.0
331.25,435.56,0.0
331.25,451.96,0.0
331.25,468.36,0.0
331.25,484.75,0.0
331.25,501.15,0.0
331.25,517.55,0.0
331.25,533.95,0.0
331.25,550.35,0.0
331.25,566.75,0.0
331.25,583.14,0.0
331.25,599.54,0.0
331.25,615.94,0.0
331.25,632.34,0.0
331.25,648.74,0.0
331.25,665.14,0.0
331.25,681.54,0.0
331.25,697.93,0.0
331.25,714.33,0.0
331.25,730.73,0.0
331.25,747.13,0.0
331.25,763.53,0.0
331.25,779.93,0.0
331.25,796.32,0.0
331.25,812.72,0.0
331.25,829.12,0.0
331.25,845.52,0.0
331.25,861.92,0.0
331.25,878.32,0.0
331.25,894.71,0.0
331.25,911.11,0.0
331.25,927.51,0.0
331.25,943.91,0.0
331.25,960.31,0.0
331.25,976.71,0.0
331.25,993.11,0.0
331.25,1009.5,0.0
331.25,1025.9,0.0
331.25,1042.3,0.0
331.25,1058.7,0.0
331.25,1075.1,0.0
331.25,1091.5,0.0
331.25,1107.9,0.0
331.25,1124.3,0.0
331.25,1140.7,0.0
331.25,1157.1,0.0
331.25,1173.5,0.0
331.25,1189.9,0.0
331.25,1206.3,0.0
331.25,1222.7,0.0
331.25,1239.1,0.0
331.25,1255.5,0.0
331.25,1271.9,0.0
331.25,1288.3,0.0
331.25,1304.7,0.0
331.25,1321.1,0.0
331.25,1337.5,0.0
331.25,1353.9,0.0
331.25,1370.3,0.0
331.25,1386.7,0.0
331.25,1403.1,0.0
331.25,1419.5,0.0
331.25,1435.9,0.0
331.25,1452.3,0.0
331.25,1468.7,0.0
331.25,1485.1,0.0
331.25,1501.5,0.0
331.25,1517.9,0.0
331.25,1534.3,0.0
331.25,1550.7,0.0
331.25,1567.1,0.0
331.25,1583.4,0.0
331.25,1599.8,0.0
331.25,1616.2,0.0
331.25,1632.6,0.0
331.25,1649.0,0.0
331.25,1665.4,0.0
331.25,1681.8,0.0
331.25,1698.2,0.0
331.25,1714.6,0.0
331.25,1731.0,0.0
331.25,1747.4,0.0
331.25,1763.8,0.0
331.25,1780.2,0.0
331.25,1796.6,0.0
331.25,1813.0,0.0
331.25,1829.4,0.0
331.25,1845.8,0.0
331.25,1862.2,0.0
331.25,1878.6,0.0
331.25,1895.0,0.0
331.25,1911.4,0.0
331.25,1927.8,0.0
331.25,1944.2,0.0
331.25,1960.6,0.0
331.25,1977.0,0.0
331.25,1993.4,0.0
331.25,2009.8,0.0
331.25,2026.2,0.0
331.25,2042.6,0.0
331.25,2059.0,0.0
331.25,2075.4,0.0
331.25,2091.8,0.0
343.75,9.1992,-0.96518
343.75,25.598,-0.98989
343.75,41.996,-1.0146
343.75,58.395,-1.0356
343.75,74.793,-1.0248
343.75,91.191,-1.0139
343.75,107.59,-1.0191
343.75,123.99,-1.0428
343.75,140.39,-1.0665
343.75,156.79,-1.0879
343.75,173.18,-1.0442
343.75,189.58,-1.0004
343.75,205.98,-1.0116
343.75,222.38,-1.1188
343.75,238.78,-1.2259
343.75,255.18,-1.3122
343.75,271.57,-1.2699
343.75,287.97,-1.1675
343.75,304.37,-1.1244
343.75,320.77,0.0
343.75,337.17,0.0
343.75,353.57,0.0
343.75,369.96,0.0
343.75,386.36,0.0
343.75,402.76,0.0
343.75,419.16,0.0
343.75,435.56,0.0
343.75,451.96,0.0
343.75,468.36,0.0
343.75,484.75,0.0
343.75,501.15,0.0
343.75,517.55,0.0
343.75,533.95,0.0
343.75,550.35,0.0
343.75,566.75,0.0
343.75,583.14,0.0
343.75,599.54,0.0
343.75,615.94,0.0
343.75,632.34,0.0
343.75,648.74,0.0
343.75,665.14,0.0
343.75,681.54,0.0
343.75,697.93,0.0
343.75,714.33,0.0
343.75,730.73,0.0
343.75,747.13,0.0
343.75,763.53,0.0
343.75,779.93,0.0
343.75,796.32,0.0
343.75,812.72,0.0
343.75,829.12,0.0
343.75,845.52,0.0
343.75,861.92,0.0
343.75,878.32,0.0
343.75,894.71,0.0
343.75,911.11,0.0
343.75,927.51,0.0
343.75,943.91,0.0
343.75,960.31,0.0
343.75,976.71,0.0
343.75,993.11,0.0
343.75,1009.5,0.0
343.75,1025.9,0.0
343.75,1042.3,0.0
343.75,1058.7,0.0
343.75,1075.1,0.0
343.75,1091.5,0.0
343.75,1107.9,0.0
343.75,1124.3,0.0
343.75,1140.7,0.0
343.75,1157.1,0.0
343.75,1173.5,0.0
343.75,1189.9,0.0
343.75,1206.3,0.0
343.75,1222.7,0.0
343.75,1239.1,0.0
343.75,1255.5,0.0
343.75,1271.9,0.0
343.75,1288.3,0.0
343.75,1304.7,0.0
343.75,1321.1,0.0
343.75,1337.5,0.0
343.75,1353.9,0.0
343.75,1370.3,0.0
343.75,1386.7,0.0
343.75,1403.1,0.0
343.75,1419.5,0.0
343.75,1435.9,0.0
343.75,1452.3,0.0
343.75,1468.7,0.0
343.75,1485.1,0.0
343.75,1501.5,0.0
343.75,1517.9,0.0
343.75,1534.3,0.0
343.75,1550.7,0.0
343.75,1567.1,0.0
343.75,1583.4,0.0
343.75,1599.8,0.0
343.75,1616.2,0.0
343.75,1632.6,0.0
343.75,1649.0,0.0
343.75,1665.4,0.0
343.75,1681.8,0.0
343.75,1698.2,0.0
343.75,1714.6,0.0
343.75,1731.0,0.0
343.75,1747.4,0.0
343.75,1763.8,0.0
343.75,1780.2,0.0
343.75,1796.6,0.0
343.75,1813.0,0.0
343.75,1829.4,0.0
343.75,1845.8,0.0
343.75,1862.2,0.0
343.75,1878.6,0.0
343.75,1895.0,0.0
343.75,1911.4,0.0
343.75,1927.8,0.0
343.75,1944.2,0.0
343.75,1960.6,0.0
343.75,1977.0,0.0
343.75,1993.4,0.0
343.75,2009.8,0.0
343.75,2026.2,0.0
343.75,2042.6,0.0
343.75,2059.0,0.0
343.75,2075.4,0.0
343.75,2091.8,0.0
356.25,9.1992,-1.0244
356.25,25.598,-1.0491
356.25,41.996,-1.0738
356.25,58.395,-1.068
356.25,74.793,-1.0572
356.25,91.191,-1.0463
356.25,107.59,-1.0515
356.25,123.99,-1.0752
356.25,140.39,-1.0989
356.25,156.79,-1.0689
356.25,173.18,-1.0251
356.25,189.58,-0.98136
356.25,205.98,-0.99261
356.25,222.38,-1.0997
356.25,238.78,-1.2068
356.25,255.18,-1.1844
356.25,271.57,-1.1729
356.25,287.97,-1.1849
356.25,304.37,-1.1231
356.25,320.77,-1.3561
356.25,337.17,0.0
356.25,353.57,0.0
356.25,369.96,0.0
356.25,386.36,0.0
356.25,402.76,0.0
356.25,419.16,0.0
356.25,435.56,0.0
356.25,451.96,0.0
356.25,468.36,0.0
356.25,484.75,0.0
356.25,501.15,0.0
356.25,517.55,0.0
356.25,533.95,0.0
356.25,550.35,0.0
356.25,566.75,0.0
356.25,583.14,0.0
356.25,599.54,0.0
356.25,615.94,0.0
356.25,632.34,0.0
356.25,648.74,0.0
356.25,665.14,0.0
356.25,681.54,0.0
356.25,697.93,0.0
356.25,714.33,0.0
356.25,730.73,0.0
356.25,747.13,0.0
356.25,763.53,0.0
356.25,779.93,0.0
356.25,796.32,0.0
356.25,812.72,0.0
356.25,829.12,0.0
356.25,845.52,0.0
356.25,861.92,0.0
356.25,878.32,0.0
356.25,894.71,0.0
356.25,911.11,0.0
356.25,927.51,0.0
356.25,943.91,0.0
356.25,960.31,0.0
356.25,976.71,0.0
356.25,993.11,0.0
356.25,1009.5,0.0
356.25,1025.9,0.0
356.25,1042.3,0.0
356.25,1058.7,0.0
356.25,1075.1,0.0
356.25,1091.5,0.0
356.25,1107.9,0.0
356.25,1124.3,0.0
356.25,1140.7,0.0
356.25,1157.1,0.0
356.25,1173.5,0.0
356.25,1189.9,0.0
356.25,1206.3,0.0
356.25,1222.7,0.0
356.25,1239.1,0.0
356.25,1255.5,0.0
356.25,1271.9,0.0
356.25,1288.3,0.0
356.25,1304.7,0.0
356.25,1321.1,0.0
356.25,1337.5,0.0
356.25,1353.9,0.0
356.25,1370.3,0.0
356.25,1386.7,0.0
356.25,1403.1,0.0
356.25,1419.5,0.0
356.25,1435.9,0.0
356.25,1452.3,0.0
356.25,1468.7,0.0
356.25,1485.1,0.0
356.25,1501.5,0.0
356.25,1517.9,0.0
356.25,1534.3,0.0
356.25,1550.7,0.0
356.25,1567.1,0.0
356.25,1583.4,0.0
356.25,1599.8,0.0
356.25,1616.2,0.0
356.25,1632.6,0.0
356.25,1649.0,0.0
356.25,1665.4,0.0
356.25,1681.8,0.0
356.25,1698.2,0.0
356.25,1714.6,0.0
356.25,1731.0,0.0
356.25,1747.4,0.0
356.25,1763.8,0.0
356.25,1780.2,0.0
356.25,1796.6,0.0
356.25,1813.0,0.0
356.25,1829.4,0.0
356.25,1845.8,0.0
356.25,1862.2,0.0
356.25,1878.6,0.0
356.25,1895.0,0.0
356.25,1911.4,0.0
356.25,1927.8,0.0
356.25,1944.2,0.0
356.25,1960.6,0.0
356.25,1977.0,0.0
356.25,1993.4,0.0
356.25,2009.8,0.0
356.25,2026.2,0.0
356.25,2042.6,0.0
356.25,2059.0,0.0
356.25,2075.4,0.0
356.25,2091.8,0.0
368.75,9.1992,-1.0836
368.75,25.598,-1.1083
368.75,41.996,-1.1112
368.75,58.395,-1.1004
368.75,74.793,-1.0896
368.75,91.191,-1.0787
368.75,107.59,-1.0839
368.75,123.99,-1.1076
368.75,140.39,-1.0937
368.75,156.79,-1.0499
368.75,173.18,-1.0061
368.75,189.58,-0.96233
368.75,205.98,-0.97358
368.75,222.38,-1.0807
368.75,238.78,-1.0899
368.75,255.18,-1.0028
368.75,271.57,-1.1424
368.75,287.97,-1.2328
368.75,304.37,-1.2384
368.75,320.77,-1.3491
368.75,337.17,-1.2526
368.75,353.57,0.0
368.75,369.96,0.0
368.75,386.36,0.0
368.75,402.76,0.0
368.75,419.16,0.0
368.75,435.56,0.0
368.75,451.96,0.0
368.75,468.36,0.0
368.75,484.75,0.0
368.75,501.15,0.0
368.75,517.55,0.0
368.75,533.95,0.0
368.75,550.35,0.0
368.75,566.75,0.0
368.75,583.14,0.0
368.75,599.54,0.0
368.75,615.94,0.0
368.75,632.34,0.0
368.75,648.74,0.0
368.75,665.14,0.0
368.75,681.54,0.0
368.75,697.93,0.0
368.75,714.33,0.0
368.75,730.73,0.0
368.75,747.13,0.0
368.75,763.53,0.0
368.75,779.93,0.0
368.75,796.32,0.0
368.75,812.72,0.0
368.75,829.12,0.0
368.75,845.52,0.0
368.75,861.92,0.0
368.75,878.32,0.0
368.75,894.71,0.0
368.75,911.11,0.0
368.75,927.51,0.0
368.75,943.91,0.0
368.75,960.31,0.0
368.75,976.71,0.0
368.75,993.11,0.0
368.75,1009.5,0.0
368.75,1025.9,0.0
368.75,1042.3,0.0
368.75,1058.7,0.0
368.75,1075.1,0.0
368.75,1091.5,0.0
368.75,1107.9,0.0
368.75,1124.3,0.0
368.75,1140.7,0.0
368.75,1157.1,0.0
368.75,1173.5,0.0
368.75,1189.9,0.0
368.75,1206.3,0.0
368.75,1222.7,0.0
368.75,1239.1,0.0
368.75,1255.5,0.0
368.75,1271.9,0.0
368.75,1288.3,0.0
368.75,1304.7,0.0
368.75,1321.1,0.0
368.75,1337.5,0.0
368.75,1353.9,0.0
368.75,1370.3,0.0
368.75,1386.7,0.0
368.75,1403.1,0.0
368.75,1419.5,0.0
368.75,1435.9,0.0
368.75,1452.3,0.0
368.75,1468.7,0.0
368.75,1485.1,0.0
368.75,1501.5,0.0
368.75,1517.9,0.0
368.75,1534.3,0.0
368.75,1550.7,0.0
368.75,1567.1,0.0
368.75,1583.4,0.0
368.75,1599.8,0.0
368.75,1616.2,0.0
368.75,1632.6,0.0
368.75,1649.0,0.0
368.75,1665.4,0.0
368.75,1681.8,0.0
368.75,1698.2,0.0
368.75,1714.6,0.0
368.75,1731.0,0.0
368.75,1747.4,0.0
368.75,1763.8,0.0
368.75,1780.2,0.0
368.75,1796.6,0.0
368.75,1813.0,0.0
368.75,1829.4,0.0
368.75,1845.8,0.0
368.75,1862.2,0.0
368.75,1878.6,0.0
368.75,1895.0,0.0
368.75,1911.4,0.0
368.75,1927.8,0.0
368.75,1944.2,0.0
368.75,1960.6,0.0
368.75,1977.0,0.0
368.75,1993.4,0.0
368.75,2009.8,0.0
368.75,2026.2,0.0
368.75,2042.6,0.0
368.75,2059.0,0.0
368.75,2075.4,0.0
368.75,2091.8,0.0
381.25,9.1992,-1.1429
381.25,25.598,-1.1545
381.25,41.996,-1.1436
381.25,58.395,-1.1328
381.25,74.793,-1.122
381.25,91.191,-1.1111
381.25,107.59,-1.1163
381.25,123.99,-1.1184
381.25,140.39,-1.0746
381.25,156.79,-1.0308
381.25,173.18,-0.98707
381.25,189.58,-0.94329
381.25,205.98,-0.95454
381.25,222.38,-1.0144
381.25,238.78,-0.92043
381.25,255.18,-1.003
381.25,271.57,-1.1356
381.25,287.97,-1.1944
381.25,304.37,-1.2431
381.25,320.77,-1.3212
381.25,337.17,-1.1833
381.25,353.57,-1.1165
381.25,369.96,0.0
381.25,386.36,0.0
381.25,402.76,0.0
381.25,419.16,0.0
381.25,435.56,0.0
381.25,451.96,0.0
381.25,468.36,0.0
381.25,484.75,0.0
381.25,501.15,0.0
381.25,517.55,0.0
381.25,533.95,0.0
381.25,550.35,0.0
381.25,566.75,0.0
381.25,583.14,0.0
381.25,599.54,0.0
381.25,615.94,0.0
381.25,632.34,0.0
381.25,648.74,0.0
381.25,665.14,0.0
381.25,681.54,0.0
381.25,697.93,0.0
381.25,714.33,0.0
381.25,730.73,0.0
381.25,747.13,0.0
381.25,763.53,0.0
381.25,779.93,0.0
381.25,796.32,0.0
381.25,812.72,0.0
381.25,829.12,0.0
381.25,845.52,0.0
381.25,861.92,0.0
381.25,878.32,0.0
381.25,894.71,0.0
381.25,911.11,0.0
381.25,927.51,0.0
381.25,943.91,0.0
381.25,960.31,0.0
381.25,976.71,0.0
381.25,993.11,0.0
381.25,1009.5,0.0
381.25,1025.9,0.0
381.25,1042.3,0.0
381.25,1058.7,0.0
381.25,1075.1,0.0
381.25,1091.5,0.0
381.25,1107.9,0.0
381.25,1124.3,0.0
381.25,1140.7,0.0
381.25,1157.1,0.0
381.25,1173.5,0.0
381.25,1189.9,0.0
381.25,1206.3,0.0
381.25,1222.7,0.0
381.25,1239.1,0.0
381.25,1255.5,0.0
381.25,1271.9,0.0
381.25,1288.3,0.0
381.25,1304.7,0.0
381.25,1321.1,0.0
381.25,1337.5,0.0
381.25,1353.9,0.0
381.25,1370.3,0.0
381.25,1386.7,0.0
381.25,1403.1,0.0
381.25,1419.5,0.0
381.25,1435.9,0.0
