#: table_doi: 10.17182/hepdata.77891.v5/t73
#: name: Exclusion contour(obs.) 11  : Meff
#: description: Observed 95% CL exclusion contours from Meff-based searches on the gluino and squark masses for inclusive squark-gluino production in pMSSM models with $m_{\tilde{\chi}_{1}^0}=695$ GeV.
#: data_file: data73.yaml
#: data_license:   
#: keyword reactions: P P --> SQUARK SQUARK or SQUARK GLUINO or GLUINO GLUINO X
#: keyword observables: CLS
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: SQRT(S) [GEV],13000.0
M(GLUINO) [GEV],M(SQUARK) [GEV]
2280.0,3019.0
2312.0,2986.0
2405.0,2886.0
2438.0,2852.0
2543.0,2754.0
2562.0,2735.0
2688.0,2660.0
2775.0,2621.0
2812.0,2608.0
2938.0,2567.0
3062.0,2534.0
3188.0,2508.0
3282.0,2489.0
3312.0,2484.0
3438.0,2462.0
3562.0,2438.0
3688.0,2410.0
3812.0,2377.0
3886.0,2356.0
3938.0,2342.0
4062.0,2317.0
4188.0,2300.0
4312.0,2287.0
4438.0,2272.0
4562.0,2255.0
4688.0,2233.0
4738.0,2224.0
4812.0,2210.0
4938.0,2187.0
5062.0,2169.0
5188.0,2154.0
5312.0,2138.0
5438.0,2118.0
5562.0,2094.0
5575.0,2091.0
5688.0,2072.0
5812.0,2052.0
5938.0,2037.0
5938.0,1102.0
5812.0,1099.0
5688.0,1097.0
5562.0,1099.0
5438.0,1105.0
5312.0,1112.0
5188.0,1121.0
5062.0,1126.0
4938.0,1123.0
4812.0,1113.0
4688.0,1101.0
4562.0,1091.0
4438.0,1083.0
4312.0,1076.0
4188.0,1068.0
4062.0,1058.0
3938.0,1041.0
3893.0,1031.0
3812.0,970.7
3750.0,898.8
3750.0,0.
0.,0.
0.,5934.
1900.0,5934.0
1906.0,5801.0
1913.0,5669.0
1918.0,5536.0
1921.0,5404.0
1923.0,5271.0
1925.0,5139.0
1926.0,5006.0
1924.0,4874.0
1921.0,4741.0
1916.0,4609.0
1912.0,4476.0
1907.0,4344.0
1902.0,4211.0
1903.0,4079.0
1917.0,3946.0
1938.0,3851.0
1947.0,3814.0
1991.0,3681.0
2035.0,3549.0
2062.0,3468.0
2084.0,3416.0
2136.0,3284.0
2188.0,3162.0
2192.0,3151.0
2280.0,3019.0

