#: table_doi: 10.17182/hepdata.77891.v5/t25
#: name: X-section U.L. & best SR 1  : Meff+RJR
#: description: Observed 95% CL upper limit on the signal cross-section from searches in a SUSY scenario where squarks are produced in pairs and decay directly into the lightest neutralino, $\tilde{q} \rightarrow q \tilde{\chi}_{1}^{0}$.
#: data_file: data25.yaml
#: data_license:   
#: keyword reactions: P P --> SQUARK SQUARK X
#: keyword observables: SIG
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: SQRT(S) [GEV],13000.0
M(SQUARK) [GEV],M(NEUTRALINO1) [GEV],Best SR
450.0,425.0,SR3j-1300
450.0,435.0,SR3j-1300
450.0,445.0,SR3j-1300
500.0,300.0,SR4j-1400
500.0,400.0,SR3j-1300
500.0,450.0,SR3j-1300
500.0,475.0,SR3j-1300
500.0,485.0,SR2j-2100
500.0,495.0,SR3j-1300
550.0,525.0,SRJigsawSRC2
550.0,535.0,SR2j-2100
550.0,545.0,SR2j-2100
600.0,300.0,SR4j-1400
600.0,400.0,SR4j-1400
600.0,500.0,SR3j-1300
600.0,550.0,SRJigsawSRC2
600.0,575.0,SR2j-2100
600.0,585.0,SR2j-2100
600.0,595.0,SR2j-2100
650.0,625.0,SRJigsawSRC2
650.0,635.0,SR2j-2100
650.0,645.0,SR2j-2100
700.0,300.0,SRJigsawSRS1a
700.0,400.0,SR4j-1400
700.0,500.0,SRJigsawSRG2a
700.0,600.0,SRJigsawSRC4
700.0,675.0,SR2j-2100
700.0,685.0,SR2j-2100
700.0,695.0,SR2j-2100
800.0,100.0,SR2j-1200
800.0,200.0,SRJigsawSRS1b
800.0,300.0,SR2j-1200
800.0,400.0,SR2j-1200
800.0,500.0,SR4j-1400
800.0,600.0,SR4j-1400
800.0,700.0,SR3j-1300
800.0,775.0,SRJigsawSRC1
900.0,100.0,SRJigsawSRS2a
900.0,200.0,SRJigsawSRS2a
900.0,300.0,SRJigsawSRS2a
900.0,400.0,SR2j-1200
900.0,500.0,SR2j-1200
900.0,600.0,SRJigsawSRS1a
900.0,700.0,SR5j-2000
900.0,800.0,SRJigsawSRC3
900.0,875.0,SRJigsawSRC1
1000.0,100.0,SRJigsawSRS2b
1000.0,200.0,SRJigsawSRS2b
1000.0,300.0,SRJigsawSRS2a
1000.0,400.0,SRJigsawSRS2b
1000.0,500.0,SR2j-1200
1000.0,600.0,SRJigsawSRS1b
1000.0,800.0,SRJigsawSRG1a
1000.0,900.0,SRJigsawSRC4
1000.0,975.0,SRJigsawSRC2
1100.0,100.0,SRJigsawSRS3a
1100.0,200.0,SRJigsawSRS3a
1100.0,300.0,SRJigsawSRS2b
1100.0,400.0,SRJigsawSRS2b
1100.0,500.0,SRJigsawSRS2a
1100.0,600.0,SRJigsawSRS2a
1100.0,700.0,SRJigsawSRS1b
1100.0,900.0,SR5j-2000
1100.0,1000.0,SRJigsawSRC4
1100.0,1075.0,SR2j-2100
1200.0,100.0,SRJigsawSRS3a
1200.0,200.0,SRJigsawSRS3a
1200.0,300.0,SRJigsawSRS3a
1200.0,400.0,SRJigsawSRS3a
1200.0,500.0,SRJigsawSRS2b
1200.0,600.0,SRJigsawSRS2b
1200.0,800.0,SRJigsawSRS1b
1200.0,1000.0,SR5j-2000
1200.0,1100.0,SR3j-1300
1300.0,100.0,SRJigsawSRS3b
1300.0,200.0,SRJigsawSRS3b
1300.0,300.0,SRJigsawSRS3b
1300.0,500.0,SRJigsawSRS3a
1300.0,600.0,SRJigsawSRS2b
1300.0,700.0,SRJigsawSRS2b
1300.0,900.0,SRJigsawSRS1b
1300.0,1100.0,SR5j-2000
1400.0,100.0,SRJigsawSRS3b
1400.0,200.0,SRJigsawSRS3b
1400.0,300.0,SRJigsawSRS3b
1400.0,400.0,SRJigsawSRS3b
1400.0,500.0,SRJigsawSRS3b
1400.0,600.0,SRJigsawSRS3a
1400.0,800.0,SRJigsawSRS2b
1400.0,1000.0,SRJigsawSRS1b
1500.0,100.0,SRJigsawSRS4
1500.0,200.0,SRJigsawSRS4
1500.0,300.0,SRJigsawSRS3b
1500.0,400.0,SRJigsawSRS3b
1500.0,500.0,SRJigsawSRS3b
1500.0,600.0,SRJigsawSRS3b
1500.0,700.0,SRJigsawSRS3a
1500.0,900.0,SRJigsawSRS2b
1500.0,1100.0,SRJigsawSRS1b

#: SQRT(S) [GEV],13000.0
M(SQUARK) [GEV],M(NEUTRALINO1) [GEV],CROSS-SECTION UPPER LIMIT 95%CL (FB)
450.0,425.0,1022.8
450.0,435.0,1177.45
450.0,445.0,1135.73
500.0,300.0,1510.55
500.0,400.0,2115.83
500.0,450.0,1526.51
500.0,475.0,450.241
500.0,485.0,1036.1
500.0,495.0,1028.63
550.0,525.0,313.776
550.0,535.0,859.087
550.0,545.0,798.765
600.0,300.0,364.269
600.0,400.0,697.583
600.0,500.0,808.465
600.0,550.0,354.258
600.0,575.0,335.647
600.0,585.0,741.734
600.0,595.0,701.206
650.0,625.0,223.563
650.0,635.0,546.329
650.0,645.0,600.748
700.0,300.0,217.248
700.0,400.0,294.829
700.0,500.0,421.535
700.0,600.0,400.914
700.0,675.0,535.924
700.0,685.0,568.771
700.0,695.0,520.521
800.0,100.0,52.9897
800.0,200.0,60.4024
800.0,300.0,78.5965
800.0,400.0,144.902
800.0,500.0,205.043
800.0,600.0,350.352
800.0,700.0,456.49
800.0,775.0,402.418
900.0,100.0,23.398
900.0,200.0,26.445
900.0,300.0,31.645
900.0,400.0,62.2673
900.0,500.0,110.594
900.0,600.0,273.382
900.0,700.0,160.159
900.0,800.0,150.528
900.0,875.0,301.886
1000.0,100.0,15.4082
1000.0,200.0,16.1844
1000.0,300.0,21.4833
1000.0,400.0,28.0007
1000.0,500.0,54.0234
1000.0,600.0,86.825
1000.0,800.0,173.147
1000.0,900.0,299.208
1000.0,975.0,313.94
1100.0,100.0,7.23115
1100.0,200.0,7.32293
1100.0,300.0,12.9861
1100.0,400.0,15.4716
1100.0,500.0,23.2333
1100.0,600.0,34.3669
1100.0,700.0,79.0179
1100.0,900.0,134.744
1100.0,1000.0,206.611
1100.0,1075.0,474.911
1200.0,100.0,4.65732
1200.0,200.0,5.13294
1200.0,300.0,5.55518
1200.0,400.0,7.07983
1200.0,500.0,13.4471
1200.0,600.0,19.9178
1200.0,800.0,71.9274
1200.0,1000.0,134.193
1200.0,1100.0,295.583
1300.0,100.0,3.62462
1300.0,200.0,3.93584
1300.0,300.0,4.75884
1300.0,500.0,6.07844
1300.0,600.0,12.1377
1300.0,700.0,16.7836
1300.0,900.0,68.825
1300.0,1100.0,128.271
1400.0,100.0,2.92104
1400.0,200.0,3.15661
1400.0,300.0,3.29447
1400.0,400.0,3.90801
1400.0,500.0,4.64294
1400.0,600.0,5.53708
1400.0,800.0,15.4217
1400.0,1000.0,58.4349
1500.0,100.0,1.67886
1500.0,200.0,1.76417
1500.0,300.0,2.61854
1500.0,400.0,2.90918
1500.0,500.0,3.36226
1500.0,600.0,4.14844
1500.0,700.0,5.04542
1500.0,900.0,14.2045
1500.0,1100.0,55.6763

