#: table_doi: 10.17182/hepdata.79538.v7/t70
#: name: EffSRC4
#: description: Efficiencies for SRC4 for top squark pair production in the case where both top squarks decay via $\tilde{t}\to t^{(*)} \tilde{\chi^{0}_{1}}$.
#: data_file: AuxFigure10d.yaml
#: data_license:   
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword reactions: P P -->  STOP STOP X
#: keyword observables: EFF
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: RE,P P -->  STOP STOP X
#: SQRT(S) [GEV],13000.0
M(STOP1)-M(NEUTRALINO1) [GEV],M(STOP1) [GEV],SIGNAL EFFICIENCY [PERCENT]
173.0,200.0,0.0
173.0,225.0,109.73
188.0,250.0,57.74
173.0,250.0,47.63
188.0,300.0,74.04
173.0,300.0,51.85
200.0,350.0,62.99
188.0,350.0,45.99
173.0,350.0,76.91
225.0,400.0,58.26
200.0,400.0,54.12
188.0,400.0,44.71
173.0,400.0,55.33
200.0,450.0,42.49
188.0,450.0,41.54
173.0,450.0,47.62
200.0,500.0,20.9
188.0,500.0,49.96
173.0,500.0,41.02
200.0,550.0,70.64
188.0,550.0,47.28
173.0,550.0,43.47
200.0,600.0,49.63
188.0,600.0,62.55
173.0,600.0,38.56
200.0,650.0,33.6
188.0,650.0,42.81
173.0,650.0,67.09
200.0,700.0,24.3
200.0,750.0,39.43
200.0,800.0,53.01
167.0,190.0,nan
167.0,220.0,16.98
150.0,250.0,17.1
120.0,250.0,19.9
90.0,250.0,36.65
150.0,300.0,24.79
90.0,300.0,26.13
165.0,350.0,51.6
150.0,350.0,36.13
120.0,350.0,27.29
90.0,350.0,25.08
165.0,400.0,41.38
150.0,400.0,44.36
120.0,400.0,38.62
90.0,400.0,35.16
165.0,450.0,32.95
150.0,450.0,40.0
120.0,450.0,62.2
90.0,450.0,32.57
165.0,500.0,58.05
150.0,500.0,38.47
120.0,500.0,54.25
90.0,500.0,inf
165.0,550.0,50.59
150.0,550.0,29.15
120.0,550.0,132.43
90.0,550.0,0.0
165.0,600.0,38.05
150.0,600.0,24.74
120.0,600.0,23.3
90.0,600.0,nan
165.0,650.0,29.98
150.0,650.0,19.66
120.0,650.0,38.98
90.0,650.0,nan

