#: table_doi: 10.17182/hepdata.78219.v1/t59
#: name: Cross section Upper Limits 1
#: description: Upper limits on cross-sections (in fb) at 95% CL for each signal model, assuming $\tilde{t}_1$ pair production, decaying via $\tilde{t}_1 \rightarrow t^{}(*)\tilde{\chi}^{0}_1$ with 100% branching ratio.
#: data_file: Figure19.yaml
#: data_license:   
#: keyword Reactions: pp --> STOP1 STOP1 | STOP1 --> TOP NEUTRALINO1 | STOP1 --> BOTTOM W NEUTRALINO1 | STOP1 -->  BOTTOM f f NEUTRALINO11
#: keyword Observables: Upper limits on cross-sections
#: keyword Cmenergies: 13000.0
#: keyword Phrases: SUSY | Third Generation | squark | stop
#: $\sqrt{s}$ [GEV],13000.0
'm($\tilde{t}_{1}$) [GEV]','m($\tilde{\chi}_{1}^{0}$) [GEV]','$\sigma$ [FB]'
200.0,12.0,59309.2
200.0,27.0,66137.74
200.0,110.0,10830.0
225.0,42.0,39102.02
225.0,52.0,118085.52
225.0,135.0,6620.0
225.0,75.0,17430.0
250.0,62.0,12990.29
250.0,77.0,75355.81
250.0,100.0,10110.0
250.0,130.0,6740.0
250.0,160.0,5310.0
260.0,210.0,309.74
260.0,225.0,192.13
260.0,240.0,188.67
260.0,250.0,5745.99
275.0,125.0,7320.0
275.0,155.0,4340.0
275.0,185.0,3680.0
275.0,195.0,15260.0
280.0,230.0,296.79
280.0,245.0,166.29
280.0,260.0,179.95
280.0,270.0,4228.78
300.0,112.0,4068.97
300.0,127.0,12502.97
300.0,150.0,4490.0
300.0,180.0,2990.0
300.0,210.0,3680.0
300.0,220.0,1450.0
300.0,250.0,242.94
300.0,265.0,139.95
300.0,280.0,170.12
300.0,290.0,3140.91
320.0,270.0,205.22
320.0,285.0,143.16
320.0,300.0,179.16
320.0,310.0,2705.05
325.0,175.0,3990.0
325.0,235.0,2500.0
325.0,245.0,1220.0
350.0,150.0,2059.43
350.0,162.0,4784.93
350.0,177.0,8911.39
350.0,200.0,3750.0
350.0,230.0,2530.0
350.0,260.0,2320.0
350.0,270.0,890.0
350.0,300.0,188.66
