#: table_doi: 10.17182/hepdata.81626.v1/t30
#: name: Acceptance/Efficiency 1
#: description: Acceptance and efficiency for $\mathrm{SR}^{\gamma\gamma}_{S-L}$ for the signal models of the gluino-bino GGM grid.
#: data_file: data30.yaml
#: keyword cmenergies: 13000.0
#: keyword phrases: Supersymmetry | SUSY
#: SQRT(S) [GEV],13000.0
M(GLUINO) [GEV],M(NEUTRALINO1) [GEV],EFFICIENCY
1200.0,500.0,0.68094
1300.0,600.0,0.58963
1400.0,700.0,0.62593
1500.0,10.0,0.58293
1500.0,50.0,0.58107
1500.0,200.0,0.57301
1500.0,500.0,0.58407
1500.0,800.0,0.63106
1500.0,1100.0,0.62591
1500.0,1300.0,0.64319
1500.0,1400.0,0.68966
1500.0,1450.0,0.7897
1500.0,1490.0,0.80263
1600.0,10.0,0.57987
1600.0,50.0,0.6036
1600.0,300.0,0.54348
1600.0,600.0,0.60564
1600.0,900.0,0.58742
1600.0,1200.0,0.60922
1600.0,1400.0,0.63857
1600.0,1500.0,0.70859
1600.0,1550.0,0.75127
1600.0,1590.0,0.80965
1700.0,10.0,0.57032
1700.0,50.0,0.57837
1700.0,200.0,0.53478
1700.0,400.0,0.57898
1700.0,700.0,0.5951
1700.0,1000.0,0.60685
1700.0,1300.0,0.59381
1700.0,1500.0,0.61353
1700.0,1600.0,0.67885
1700.0,1650.0,0.75469
1700.0,1690.0,0.78736
1800.0,10.0,0.55485
1800.0,50.0,0.55797
1800.0,200.0,0.57674
1800.0,800.0,0.5813
1800.0,1100.0,0.5842
1800.0,1400.0,0.59335
1800.0,1600.0,0.63488
1800.0,1700.0,0.66874
1800.0,1750.0,0.74733
1800.0,1790.0,0.78442
1900.0,10.0,0.56406
1900.0,50.0,0.55815
1900.0,300.0,0.5603
1900.0,600.0,0.57089
1900.0,900.0,0.5808
1900.0,1200.0,0.59975
1900.0,1500.0,0.57585
1900.0,1700.0,0.63102
1900.0,1800.0,0.6486
1900.0,1850.0,0.72295
1900.0,1890.0,0.75206
2000.0,10.0,0.571
2000.0,50.0,0.54124
2000.0,200.0,0.55598
2000.0,400.0,0.55353
2000.0,700.0,0.55661
2000.0,1000.0,0.58723
2000.0,1300.0,0.58901
2000.0,1600.0,0.58095
2000.0,1800.0,0.61453
2000.0,1900.0,0.67532
2000.0,1950.0,0.73737
2000.0,1990.0,0.75821
2100.0,10.0,0.57207
2100.0,50.0,0.56536
2100.0,200.0,0.55974
2100.0,500.0,0.54528
2100.0,800.0,0.57003
2100.0,1100.0,0.58406
2100.0,1400.0,0.5731
2100.0,1700.0,0.59239
2100.0,1900.0,0.6244
2100.0,2000.0,0.68011
2100.0,2050.0,0.73597
2100.0,2090.0,0.72982
2200.0,10.0,0.56508
2200.0,50.0,0.56545
2200.0,300.0,0.53978
2200.0,600.0,0.56437
2200.0,900.0,0.5786
2200.0,1200.0,0.55954
2200.0,1500.0,0.5735
2200.0,1800.0,0.60153
2200.0,2000.0,0.59605
2200.0,2100.0,0.6808
2200.0,2150.0,0.74187
2200.0,2190.0,0.77062
2300.0,10.0,0.55054
2300.0,50.0,0.54755
2300.0,200.0,0.54789
2300.0,400.0,0.55296
2300.0,700.0,0.55488
2300.0,1000.0,0.57826
2300.0,1300.0,0.55091
2300.0,1600.0,0.56571
2300.0,1900.0,0.60107
2300.0,2100.0,0.61043
2300.0,2250.0,0.72707
2300.0,2200.0,0.68176
2300.0,2290.0,0.75079
2400.0,10.0,0.5414
2400.0,50.0,0.55896
2400.0,300.0,0.58329
2400.0,500.0,0.53894
2400.0,800.0,0.56817
2400.0,1050.0,0.564
2400.0,1400.0,0.57487
2400.0,1700.0,0.56787
2400.0,2000.0,0.57696
2400.0,2200.0,0.61862
2400.0,2300.0,0.68654
2400.0,2350.0,0.73838
2400.0,2390.0,0.75803

