#: table_doi: 10.17182/hepdata.85726.v1/t41
#: name: Acceptance 1lbb SR1Lbb-Medium
#: description: Acceptance for $1lb\bar{b}$ SR1Lbb-Medium signal region. Note that the acceptance is relative to the total chargino-neutralino production cross section.
#: data_file: 1Lbb_Acc_SR2.yaml
#: data_license:   
#: keyword reactions: P P --> CHARGINO1 NEUTRALINO2 X
#: keyword observables: 
#: keyword cmenergies: 13000.0
#: keyword phrases: Electroweak | Acceptance | Leptonic | Chargino | Neutralino | Proton-Proton | Scattering
#: SQRT(S) [GEV],13000.0
M(CHARGINO1/NEUTRALINO2) [GEV],M(NEUTRALINO1) [GEV],Acceptance
150.0,0.0,2.57523734634e-05
152.5,22.5,1.12622518537e-05
152.5,22.5,3.85559130732e-06
162.5,12.5,3.51976451707e-05
165.0,35.0,1.47728724585e-05
165.0,35.0,1.4867932478e-05
175.0,0.0,9.69369278049e-05
175.0,25.0,7.44853003902e-05
177.5,47.5,3.46776567805e-05
177.5,47.5,3.26637043902e-05
187.5,12.5,0.000214407782341
187.5,37.5,0.000103774694927
190.0,60.0,3.28905834146e-05
190.0,60.0,3.04755822439e-05
200.0,0.0,0.000275591555122
200.0,25.0,0.000287936982439
200.0,50.0,0.000133024672098
202.5,72.5,3.70362819512e-05
202.5,72.5,4.85885493659e-05
212.5,12.5,0.000393768026341
212.5,37.5,0.000218274121756
212.5,62.5,0.000161677430341
215.0,85.0,6.64361367805e-05
215.0,85.0,8.60790477073e-05
225.0,0.0,0.000535086158049
225.0,25.0,0.000515572270244
225.0,50.0,0.000310379672195
225.0,75.0,0.000159774854927
237.5,12.5,0.000560746404878
227.5,97.5,5.72667866341e-05
227.5,97.5,6.94836491707e-05
237.5,37.5,0.00053347050439
237.5,62.5,0.000402758394146
237.5,87.5,0.000208587533268
240.0,110.0,6.76124701463e-05
240.0,110.0,5.25474737561e-05
250.0,0.0,0.000762682486829
250.0,25.0,0.000599629802927
250.0,50.0,0.000546368233171
250.0,75.0,0.000421928525854
250.0,100.0,0.000214824643902
262.5,12.5,0.000930151290732
262.5,37.5,0.000686226547317
262.5,62.5,0.000688389919024
262.5,87.5,0.00047177316
275.0,0.0,0.000870612734634
275.0,25.0,0.00088572654439
275.0,50.0,0.000783706609756
275.0,75.0,0.00059469804878
287.5,12.5,0.0011674850839
287.5,37.5,0.000911528877073
287.5,62.5,0.000783262018537
300.0,0.0,0.00140046921659
300.0,25.0,0.00111233973073
300.0,50.0,0.000940046882927
300.0,100.0,0.000725767665366
300.0,75.0,0.000970249293659
312.5,12.5,0.00116132039122
312.5,37.5,0.00133186466634
325.0,0.0,0.00145737230927
325.0,25.0,0.00120101734537
325.0,50.0,0.00125762939122
325.0,75.0,0.00124208244878
325.0,100.0,0.00107307361756
337.5,12.5,0.00167645265366
350.0,0.0,0.00142885201171
350.0,25.0,0.0015009468322
350.0,50.0,0.00147389322732
350.0,75.0,0.00152129260976
350.0,100.0,0.00128397485854
375.0,0.0,0.00193987982634
375.0,25.0,0.00181748432195
375.0,50.0,0.00176379420293
375.0,75.0,0.00183047371902
400.0,0.0,0.00195857328293
400.0,25.0,0.00190674632195
400.0,50.0,0.0021094638761
425.0,0.0,0.00209563571415
425.0,25.0,0.00224231873268
450.0,0.0,0.00237521713171
400.0,75.0,0.00183099622829
425.0,50.0,0.00245510604878
425.0,75.0,0.00204112974732
450.0,25.0,0.00233919149268
450.0,50.0,0.00248778579512
475.0,0.0,0.00263198001951
475.0,25.0,0.00240370305366
500.0,0.0,0.00277997847805
275.0,100.0,0.0004408001856
375.0,100.0,0.00144750078
400.0,100.0,0.0017638302744
425.0,100.0,0.001985600304
450.0,100.0,0.002050564248
475.0,100.0,0.002552836824
450.0,75.0,0.002218358016
475.0,75.0,0.002296777032
500.0,75.0,0.00254133612
475.0,50.0,0.002421499536
500.0,50.0,0.002292097824
525.0,50.0,0.002789127432
500.0,25.0,0.002768700528
525.0,25.0,0.002670080112
550.0,25.0,0.0026539002
575.0,25.0,0.00290261232
525.0,0.0,0.002810700648
550.0,0.0,0.002840204088
575.0,0.0,0.002881884744
600.0,0.0,0.002914188192
275.0,145.0,8.805949992e-05
275.0,125.0,0.0002582189928
300.0,125.0,0.0005483280096
325.0,125.0,0.0008136297072
350.0,125.0,0.0011950885152
375.0,125.0,0.0013305656808
400.0,125.0,0.0017851347648
425.0,125.0,0.00203639508
450.0,125.0,0.002126765808
300.0,170.0,8.096777496e-05
300.0,150.0,0.0002510554824
325.0,150.0,0.000467046972
350.0,150.0,0.0008469385272
375.0,150.0,0.0011199599784
400.0,150.0,0.0016045342488
425.0,150.0,0.0014782952304
450.0,150.0,0.0017206368624
325.0,190.0,0.00011298426912
325.0,175.0,0.0002924824464
350.0,175.0,0.0006451086888
375.0,175.0,0.0008214885216
400.0,175.0,0.0011409262128
425.0,175.0,0.0012966329664
450.0,175.0,0.0016746434424
350.0,200.0,0.0002938599
375.0,200.0,0.0006742043424
400.0,200.0,0.0010198004976
425.0,200.0,0.00118088928
450.0,200.0,0.0016587078264
500.0,100.0,0.00259883964
500.0,125.0,0.002492082288
500.0,150.0,0.002439690192
475.0,150.0,0.0021408786
475.0,125.0,0.00250901388
525.0,75.0,0.002867621616
525.0,100.0,0.00264300084
525.0,125.0,0.00263191356
550.0,50.0,0.002827369152
550.0,75.0,0.002615977944
550.0,100.0,0.00259489332
550.0,125.0,0.002664855936
575.0,50.0,0.002674627776
575.0,75.0,0.002564656992
575.0,100.0,0.002442734496
575.0,125.0,0.00254387304
600.0,15.0,0.003164929848
600.0,50.0,0.002881997496
600.0,75.0,0.002528801856
600.0,100.0,0.003129469344
600.0,125.0,0.00272230308
625.0,0.0,0.003117160584
625.0,25.0,0.003039436872
625.0,50.0,0.003010346856
625.0,75.0,0.003065971176
625.0,100.0,0.003305362464
650.0,0.0,0.002618590032
650.0,25.0,0.002824888608
650.0,50.0,0.00316654596
650.0,75.0,0.002816244288
650.0,100.0,0.00289932372
675.0,0.0,0.003247501896
675.0,25.0,0.002866644432
675.0,50.0,0.00295259904
675.0,75.0,0.003079219536
675.0,100.0,0.003647282904
700.0,0.0,0.002708397
700.0,25.0,0.00329245236
700.0,50.0,0.002904641856
750.0,0.0,0.003378933144
750.0,25.0,0.002687331168
750.0,50.0,0.002825922168
800.0,0.0,0.002880682056
