#: table_doi: 10.17182/hepdata.85726.v1/t49
#: name: Efficiency 1lyy SR1Lyy-b
#: description: Efficiencies for $1l\gamma\gamma$ signal region SR1Lyy-b.
#: data_file: 1Lyy_Eff_SRb.yaml
#: data_license:   
#: keyword reactions: P P --> CHARGINO1 NEUTRALINO2 X
#: keyword observables: 
#: keyword cmenergies: 13000.0
#: keyword phrases: Electroweak | Efficiency | Photon | Chargino | Neutralino | Proton-Proton | Scattering
#: SQRT(S) [GEV],13000.0
M(CHARGINO1/NEUTRALINO2) [GEV],M(NEUTRALINO1) [GEV],Efficiency
150.0,0.0,0.386
152.5,22.5,0.3963
162.5,12.5,0.4013
165.0,35.0,0.383
175.0,0.0,0.4315
175.0,25.0,0.4333
177.5,47.5,0.426
187.5,12.5,0.4132
187.5,37.5,0.4113
190.0,60.0,0.3747
200.0,25.0,0.4488
200.0,0.0,0.4489
200.0,50.0,0.4232
202.5,72.5,0.3926
212.5,37.5,0.4584
212.5,12.5,0.4669
212.5,62.5,0.4122
215.0,85.0,0.4237
225.0,0.0,0.4215
225.0,25.0,0.4271
225.0,50.0,0.4688
225.0,75.0,0.4076
237.5,12.5,0.4082
227.5,97.5,0.4115
237.5,37.5,0.4322
237.5,62.5,0.4539
237.5,87.5,0.4379
240.0,110.0,0.4241
250.0,0.0,0.4207
250.0,25.0,0.4225
250.0,50.0,0.4619
250.0,75.0,0.4059
250.0,100.0,0.4032
262.5,12.5,0.4474
262.5,37.5,0.4555
262.5,62.5,0.4195
262.5,87.5,0.4458
275.0,0.0,0.4558
275.0,25.0,0.45
275.0,50.0,0.4614
275.0,75.0,0.4258
287.5,12.5,0.4837
287.5,37.5,0.4728
287.5,62.5,0.4425
300.0,0.0,0.4722
300.0,25.0,0.4704
300.0,50.0,0.4764
300.0,75.0,0.4832
300.0,100.0,0.4329
312.5,12.5,0.4324
312.5,37.5,0.4617
325.0,0.0,0.4421
325.0,25.0,0.4703
325.0,50.0,0.4389
325.0,75.0,0.4549
325.0,100.0,0.4513
337.5,12.5,0.4721
350.0,0.0,0.4778
350.0,25.0,0.4637
350.0,50.0,0.5026
350.0,75.0,0.4896
350.0,100.0,0.4479
375.0,0.0,0.4769
375.0,25.0,0.5279
375.0,50.0,0.4955
375.0,75.0,0.444
400.0,0.0,0.4793
400.0,25.0,0.4867
400.0,50.0,0.5171
425.0,0.0,0.4988
425.0,25.0,0.4813
450.0,0.0,0.4833
400.0,75.0,0.5179
425.0,50.0,0.4663
425.0,75.0,0.4673
450.0,25.0,0.4594
450.0,50.0,0.4777
475.0,0.0,0.491
500.0,0.0,0.4855
475.0,25.0,0.4546

