#: table_doi: 10.17182/hepdata.91374.v1/t47
#: name: Figure 31g
#: description: Acceptance (note the $z$-axis is in units of $10^{-4}$) for the N2C1m higgsino process in the SR-E-1l1T region.  Truth dilepton invariant mass is constrained to be within the range [0.5,60] GeV.
#: data_file: figure_31g.yaml
#: keyword reactions: P P --> HIGGSINO HIGGSINO
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering
$m(\tilde{\chi}_{2}^{0})$ [GeV],"$\Delta m(\tilde{\chi}_{2}^{0},\tilde{\chi}_{1}^{0})$ [GeV]",Acceptance (note the $z$-axis is in units of $10^{-4}$)
81.0,1.0,0.15865
81.5,1.5,0.40609
82.0,2.0,0.87341
83.0,3.0,1.0378
85.0,5.0,0.50823
101.0,1.0,0.13404
101.5,1.5,0.73184
102.0,2.0,1.1418
103.0,3.0,1.5163
105.0,5.0,0.91609
126.0,1.0,0.11627
126.5,1.5,0.6384
127.0,2.0,1.2548
128.0,3.0,1.9728
130.0,5.0,1.3611
152.0,2.0,1.2904
155.0,5.0,1.8436
153.0,3.0,2.3689

