#: table_doi: 10.17182/hepdata.91374.v1/t83
#: name: Figure 44ab
#: description: Observed and Expected upper cross-section limits for direct slepton scenarios.
#: data_file: figure_44ab.yaml
#: keyword reactions: P P --> SLEPTON SLEPTON
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering
#$m(\tilde{\ell})$ [GeV],"$\Delta m(\tilde{\ell},\tilde{\chi}_{1}^{0})$ [GeV]",Observed 95% CL Upper Limit [fb]
100.0,40.0,1.1342
100.0,30.0,0.92014
100.0,20.0,0.32095
100.0,10.0,0.096834
100.0,5.0,0.090003
100.0,2.0,0.23813
100.0,1.0,0.27277
100.0,0.7,1.318
100.0,0.5,6.8874
125.0,20.0,0.20488
125.0,10.0,0.066653
125.0,5.0,0.076247
125.0,2.0,0.16815
125.0,1.0,0.25215
125.0,0.7,1.7509
125.0,0.5,16.316
125.0,40.0,0.55263
125.0,30.0,0.49828
150.0,40.0,0.54511
150.0,30.0,0.33409
150.0,25.7,0.2002
150.0,20.0,0.12833
150.0,10.0,0.046633
150.0,5.0,0.051446
150.0,2.0,0.12106
150.0,1.0,0.42622
150.0,0.5,9.3332
175.0,40.0,0.26823
175.0,30.0,0.30247
175.0,20.0,0.085084
175.0,10.0,0.033589
175.0,5.0,0.049546
175.0,2.0,0.082242
175.0,1.0,0.34392
200.0,40.0,0.15001
200.0,30.0,0.14731
200.0,20.0,0.078767
200.0,10.0,0.037495
200.0,5.0,0.038733
200.0,2.0,0.079242
200.0,1.0,0.5319
225.0,40.0,0.30434
225.0,30.0,0.18996
225.0,20.0,0.077102
225.0,10.0,0.030735
225.0,5.0,0.03582
225.0,2.0,0.053833
225.0,1.0,0.58475
250.0,20.0,0.061205
250.0,10.0,0.02235
250.0,5.0,0.035652
250.0,2.0,0.039794
250.0,1.0,0.64918
300.0,10.0,0.022643
300.0,5.0,0.032372
300.0,2.0,0.053641
50.0,5.0,0.52692
50.0,2.0,1.0834
50.0,1.0,2.4255
50.0,0.7,3.378
50.0,0.5,3.6597
50.0,0.3,46.988
60.0,5.0,0.28621
60.0,2.0,0.70751
60.0,1.0,1.4203
60.0,0.7,1.5131
60.0,0.5,3.0361
60.0,0.3,55.24
70.0,5.0,0.18374
70.0,2.0,0.56893
70.0,1.0,0.67078
70.0,0.7,1.0332
70.0,0.5,4.2548
90.0,40.0,2.4993
90.0,20.0,0.35895


