#: table_doi: 10.17182/hepdata.91374.v1/t24
#: name: Figure 28f
#: description: Efficiency for the C1C1 higgsino process in the SR-E-med region.  Truth dilepton invariant mass is constrained to be within the range [0.5,60] GeV.
#: data_file: figure_28f.yaml
#: keyword reactions: P P --> HIGGSINO HIGGSINO
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering
$m(\tilde{\chi}_{2}^{0})$ [GeV],"$\Delta m(\tilde{\chi}_{2}^{0},\tilde{\chi}_{1}^{0})$ [GeV]",Efficiency
100.0,40.0,0.4297
100.0,20.0,0.353
101.5,1.5,0.27557
102.0,2.0,0.23947
103.0,3.0,0.30825
105.0,5.0,0.38829
110.0,10.0,0.33293
110.0,30.0,0.44055
115.0,15.0,0.37901
120.0,20.0,0.33902
120.0,60.0,0.29112
120.0,40.0,0.34294
126.5,1.5,0.0
127.0,2.0,0.40062
128.0,3.0,0.32601
130.0,30.0,0.3831
130.0,5.0,0.38797
135.0,10.0,0.37894
140.0,40.0,0.37252
140.0,15.0,0.36641
140.0,60.0,0.35741
145.0,20.0,0.37964
152.0,2.0,0.0
153.0,3.0,0.2849
155.0,30.0,0.38654
155.0,5.0,0.33663
160.0,60.0,0.47155
160.0,10.0,0.41029
165.0,40.0,0.39559
165.0,15.0,0.36182
170.0,20.0,0.4032
178.0,3.0,0.27003
180.0,30.0,0.40258
180.0,5.0,0.34627
185.0,10.0,0.40722
190.0,40.0,0.38646
190.0,15.0,0.40335
195.0,20.0,0.30743
202.0,2.0,0.48201
203.0,3.0,0.22292
205.0,5.0,0.37598
210.0,10.0,0.3469
215.0,15.0,0.38556
220.0,20.0,0.40219
230.0,30.0,0.3569
230.0,5.0,0.39873
235.0,10.0,0.39731
240.0,40.0,0.36267
240.0,15.0,0.35476
252.0,2.0,0.0
253.0,3.0,0.24388
255.0,5.0,0.33293
260.0,10.0,0.3486
265.0,15.0,0.30912
270.0,20.0,0.36743
280.0,30.0,0.36958
290.0,40.0,0.38913
81.5,1.5,0.92946
82.0,2.0,0.25185
83.0,3.0,0.3366
85.0,5.0,0.34969
90.0,10.0,0.39459
95.0,15.0,0.36946

