#: table_doi: 10.17182/hepdata.90835.v1/t28
#: name: T1bbbb observed - 1 s.d.(theory) mass limit curve
#: description: Exclusion limits assuming the approximate-NNLO+NNLL cross sections
#: data_file: t1bbbb_observed_-_1_s.d.(theory)_mass_limit_curve.yaml
#: keyword observables: CLS
#: keyword phrases: SUSY | Supersymmetry
#: keyword cmenergies: 13000
#: keyword reactions: P P --> GLUINO GLUINO | GLUINO --> BQ BQBAR NEUTRALINO1
#: LUMINOSITY [fb$^{-1}$],137
#: Limit boundary,Observed - 1 s.d.(theory)
M(GLUINO) [GeV],M(NEUTRALINO1) [GeV]
718.05,693.39
1037.7,1012.1
1075.2,1049.5
1133.0,1106.5
1161.7,1132.5
1163.4,1134.5
1200.0,1163.7
1211.2,1172.0
1236.0,1190.4
1250.0,1200.1
1274.2,1217.1
1300.0,1235.3
1309.4,1241.9
1313.3,1244.4
1335.8,1260.2
1350.0,1270.4
1375.9,1288.6
1382.6,1293.8
1392.6,1301.2
1400.0,1307.0
1436.1,1335.0
1447.9,1345.8
1449.1,1347.1
1450.0,1348.5
1458.1,1354.2
1500.0,1375.6
1544.0,1396.9
1549.5,1394.9
1550.0,1398.6
1592.8,1399.4
1600.0,1399.5
1601.4,1399.8
1605.6,1400.1
1644.3,1405.1
1650.0,1405.5
1687.3,1406.9
1700.0,1407.2
1746.1,1405.1
1750.0,1406.8
1753.3,1405.2
1800.0,1411.2
1814.0,1412.3
1850.0,1416.6
1881.8,1419.4
1900.0,1420.8
1927.4,1422.0
1950.0,1422.7
1977.8,1423.7
2048.2,1401.8
2050.0,1401.4
2053.2,1400.0
2083.8,1383.8
2100.0,1372.5
2123.2,1350.0
2150.0,1315.2
2155.9,1305.9
2158.8,1300.0
2163.1,1286.9
2173.7,1250.0
2182.4,1232.4
2186.5,1200.0
2187.9,1187.9
2200.0,1136.8
2208.0,1100.0
2214.9,1070.2
2230.0,1000.0
2233.6,967.16
2244.7,900.0
2250.0,823.69
2251.3,800.0
2254.6,709.27
2255.1,700.0
2259.1,618.2
2258.9,600.0
2258.3,583.48
2256.4,500.0
2255.8,488.43
2250.9,400.0
2250.8,398.47
2250.0,362.03
2248.4,303.27
2248.1,300.0
2247.9,295.89
2241.6,200.0
2235.4,129.21
2233.0,100.0
2226.3,47.911
2224.0,1.0
2224.0,1.0

