#: table_doi: 10.17182/hepdata.90835.v1/t60
#: name: T2qq cross section upper limits
#: description: The 95% CL observed and expected upper limits on the production cross sections of the T2qq signal model as a function of the LSP and light squark masses.
#: data_file: t2qq_cross_section_upper_limits.yaml
#: keyword observables: SIG | CLS
#: keyword phrases: SUSY | Supersymmetry
#: keyword cmenergies: 13000
#: keyword reactions: P P --> SQUARK SQUARK | SQUARK --> Q NEUTRALINO1
#: Upper Limit,Expected
#: LUMINOSITY [fb$^{-1}$],137
M(SQUARK) [GeV],M(NEUTRALINO1) [GeV],Cross section upper limit at 95% CL [pb]
505.86,6.2313,0.078051
505.86,16.694,0.079314
505.86,27.156,0.080577
505.86,37.619,0.08184
505.86,48.081,0.083104
505.86,58.544,0.084367
505.86,69.006,0.08563
505.86,79.469,0.086893
505.86,89.931,0.088077
505.86,100.39,0.088982
505.86,110.86,0.09461
505.86,121.32,0.10024
505.86,131.78,0.10587
505.86,142.24,0.11149
505.86,152.71,0.11712
505.86,163.17,0.12275
505.86,173.63,0.12838
505.86,184.09,0.134
505.86,194.56,0.13797
505.86,205.02,0.14545
505.86,215.48,0.15796
505.86,225.94,0.17046
505.86,236.41,0.18297
505.86,246.87,0.19398
505.86,257.33,0.20346
505.86,267.79,0.21409
505.86,278.26,0.22472
505.86,288.72,0.23535
505.86,299.18,0.24498
505.86,309.64,0.25488
505.86,320.11,0.26551
505.86,330.57,0.27614
505.86,341.03,0.28677
505.86,351.49,0.29732
505.86,361.96,0.30732
505.86,372.42,0.31733
505.86,382.88,0.32733
505.86,393.34,0.33733
505.86,403.81,0.34698
505.86,414.27,0.35824
505.86,424.73,0.36949
505.86,435.19,0.38075
505.86,445.66,0.39156
505.86,456.12,0.41691
505.86,466.58,0.45443
505.86,477.04,0.47886
505.86,487.51,0.0
505.86,497.97,0.0
505.86,508.43,0.0
505.86,518.89,0.0
505.86,529.36,0.0
505.86,539.82,0.0
505.86,550.28,0.0
505.86,560.74,0.0
505.86,571.21,0.0
505.86,581.67,0.0
505.86,592.13,0.0
505.86,602.59,0.0
505.86,613.06,0.0
505.86,623.52,0.0
505.86,633.98,0.0
505.86,644.44,0.0
505.86,654.91,0.0
505.86,665.37,0.0
505.86,675.83,0.0
505.86,686.29,0.0
505.86,696.76,0.0
505.86,707.22,0.0
505.86,717.68,0.0
505.86,728.14,0.0
505.86,738.61,0.0
505.86,749.07,0.0
505.86,759.53,0.0
505.86,769.99,0.0
505.86,780.46,0.0
